序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.43,1,6
4,FAQJ00-3450,2,A,0,,2,2.0,1,
5,FDQJ00-2000,2,D,1,,2,2.21,1,
6,ABQJ00-0010,2,B,2,,2,4.49,1,
7,AJYY00-0010,2,J,0,,2,1.4,,
8,AJYY00-0050,2,J,0,,2,1.12,,
9,AJZY00-0060,2,J,0,,2,1.63,,
10,RJND-N36499-4,2,J,0,AJZY00-0060,2,1.46,,
11,AJZY00-0080,2,J,0,RJND-N36499-4,2,1.59,,
12,AJCP00-0100,2,J,0,,2,0.74,,
13,AJCP00-0130,2,J,0,AJCP00-0100,2,1.64,,
14,AJCP00-0110,2,J,0,,2,1.35,,
15,RJND-N46111-8,2,J,0,AJCP00-0110,2,1.47,,
16,AJCP00-0140,2,J,0,RJND-N46111-8,2,1.01,,
17,AJWB00-0180,2,J,0,AJWB00-0190,2,0.96,,
18,AJWB00-0190,2,J,0,,2,1.4,,
19,AJQJ00-0200,2,J,0,,2,1.23,,
20,AEQJ00-0010,2,E,4,,2,10.22,,
21,AEQJ00-0080,2,E,4,,2,38.77,,
22,AGQJ00-0010,2,G,0,,2,5.96,,
23,FJQJ00-0370,2,J,0,,2,0.48,,
24,ABHS00-2180,2,B,2,,2,2.43,,
25,A-2,1,,-1,A-1,0,0.0,,
26,AFQJ00-0100,2,F,4,,3,0.55,,
27,AFZG00-0110,2,F,4,,3,0.74,,
28,AFZG00-0120,2,F,4,,3,0.46,,
29,AFZG00-0130,2,F,4,,3,0.5,,
30,AFZG00-0140,2,F,4,,5,0.66,,
31,AFZG00-0150,2,F,4,,5,0.58,,
32,AFZG00-0160,2,F,4,,1,0.36,,
33,AFZG00-0170,2,F,4,,1,0.47,,
34,AKQS00-0020,2,K,4,,1,0.75,,6
35,AKCP00-0040,2,K,4,,1,1.72,,
36,AKYY00-0050,2,K,4,,1,1.5,,
37,AKCP00-0060,2,K,4,,1,1.24,,
38,AKCP00-0070,2,K,4,,1,0.99,,
39,AMYG00-0010,2,M,0,,1,0.57,,
40,AWWB00-0010,2,W,1,,2,0.9,,
41,AWWB00-0020,2,W,1,,1,0.88,,
42,AWWB00-0030,2,W,1,,1,0.94,,
43,AWWC00-0040,2,W,1,,1,0.51,,4
44,AWWB00-0050,2,W,1,,1,0.87,,
45,BWQS00-0090,2,W,1,,1,0.86,,6
46,AWWB00-1600,2,W,1,,1,0.34,,
47,FWQJ00-1960,2,W,1,,1,0.75,,
48,AYWB00-0040,2,Y,3,,1,3.83,,
49,AYWB00-0050,2,Y,3,,1,3.84,,
50,AYQQ00-0060,2,Y,3,,2,6.77,,2
51,AYHS00-0070,2,Y,3,,1,5.61,,
52,AYQQ00-0080,2,Y,3,,1,7.46,,2
53,AYWC00-1980,2,Y,3,,3,4.87,,4
54,FYQJ00-1130,2,Y,3,,2,6.19,,
55,ACZY00-0010,2,C,4,,1,0.96,,
56,ACCP00-0030,2,C,4,,1,0.64,,
57,ACCP00-0040,2,C,4,,1,0.63,,
58,ACCP00-0050,2,C,4,,1,0.51,,
59,ACCP00-0060,2,C,4,,1,0.45,,
60,ACCP00-0080,2,C,4,,1,0.47,,
61,ACZY00-0090,2,C,4,,1,0.97,,
62,AQHS00-0020,2,Q,2,,1,1.16,,
63,AQHS00-0030,2,Q,2,,1,1.42,,
64,AQHS00-0040,2,Q,2,,1,1.13,,
65,AQHS00-0050,2,Q,2,,1,1.32,,
66,AQHS00-0060,2,Q,2,,1,0.95,,
67,AQHS00-0070,2,Q,2,,1,1.6,,
68,AQHS00-0080,2,Q,2,,1,1.96,,
69,AQHS00-0090,2,Q,2,,1,0.9,,
70,AQHS00-0100,2,Q,2,,1,0.76,,
71,AQHS00-0110,2,Q,2,,1,1.82,,
72,AQHS00-0120,2,Q,2,,1,1.65,,
73,AQHS00-0130,2,Q,2,,2,1.69,,
74,AQHS00-0140,2,Q,2,AQHS00-0120,2,0.67,,
75,AQQS00-0160,2,Q,2,,1,0.63,,6
76,AQQJ00-0170,2,Q,2,AQHS00-0130,2,2.89,,2
77,AQHD00-0180,2,Q,2,,1,0.98,,
78,AQWC00-0190,2,Q,2,,1,0.98,,4
79,AJZY00-0220,2,J,0,,1,1.66,,
80,AJYY00-0230,2,J,0,,1,0.53,,
81,AJZY00-0240,2,J,0,,1,0.27,,
82,AJYY00-0250,2,J,0,,1,1.75,,
83,AJZY00-0260,2,J,0,,1,3.01,,
84,AJYY00-0270,2,J,0,,1,0.3,,
85,AJZY00-0280,2,J,0,,1,0.34,,
86,AJQX00-0290,2,J,0,,1,0.89,,4
87,AJHS00-0300,2,J,0,,1,0.42,,
88,AJYYA1-0310,2,J,0,,2,1.57,,
89,AJWC00-0570,2,J,0,,1,1.46,,4
90,AJWC00-0580,2,J,0,,5,1.37,,4
91,AEQS00-0020,2,E,4,,1,1.56,,6
92,AEQS00-0030,2,E,4,,1,0.65,,6
93,AEHS00-0040,2,E,4,,1,5.87,,
94,AEQX00-0050,2,E,4,,1,1.03,,4
95,AEQS00-0060,2,E,4,,1,0.55,,6
96,AEQS00-0070,2,E,4,,1,0.97,,6
97,AEZY00-0430,2,E,4,,1,1.76,,
98,DXHS00-0010,2,X,2,,1,1.99,,
99,DXHS00-0020,2,X,2,,2,2.4,,
100,DXHS00-0030,2,X,2,,1,0.94,,
101,AGHXB1-0070,2,G,0,,1,1.97,,4
102,AGHXB2-0080,2,G,0,,1,1.78,,4
103,AGHXB3-0090,2,G,0,,1,1.45,,4
104,AGHXB4-0100,2,G,0,,1,2.06,,4
105,AGHXB5-0110,2,G,0,,1,2.46,,4
106,AGHS00-0120,2,G,0,,2,2.36,,
107,AGWC00-0130,2,G,0,,1,1.45,,4
108,EGZY00-0140,2,G,0,,1,1.44,,
109,EGYY00-0150,2,G,0,,1,1.39,,
110,ENWCB1-0390,2,N,3,,2,2.13,,4
111,ENHSB1-0380,2,N,3,,1,2.62,,
112,ENHSB1-0430,2,N,3,,1,2.22,,
113,ENHSB1-0310,2,N,3,,1,1.59,,
114,ENHSB1-0320,2,N,3,,1,1.38,,
115,ENHSB1-0330,2,N,3,,1,2.05,,
116,ENWCB1-0370,2,N,3,,1,1.87,,4
117,ENQSB1-0360,2,N,3,,1,2.05,,6
118,ENHDB1-0300,2,N,3,,1,1.51,,
