序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.67,1,6
4,FAQJ00-3450,2,A,0,,2,2.35,1,
5,FDQJ00-2000,2,D,1,,2,2.47,1,
6,AJYY00-0010,2,J,0,,2,1.0,,
7,AJYY00-0030,2,J,0,AJYY00-0010,2,1.43,,
8,AJZY00-0020,2,J,0,,2,1.02,,
9,AJZY00-0040,2,J,0,AJZY00-0020,2,1.59,,
10,AJYY00-0050,2,J,0,,2,1.09,,
11,AJYY00-0070,2,J,0,AJYY00-0050,2,1.49,,
12,AJZY00-0060,2,J,0,,2,1.32,,
13,AJZY00-0080,2,J,0,AJZY00-0060,2,0.94,,
14,AJCP00-0090,2,J,0,,2,1.59,,
15,AJCP00-0100,2,J,0,,2,0.66,,
16,AJCP00-0130,2,J,0,AJCP00-0100,2,0.96,,
17,AJCP00-0110,2,J,0,,2,1.84,,
18,AJCP00-0120,2,J,0,,2,0.72,,
19,AJCP00-0140,2,J,0,"AJCP00-0110,AJCP00-0120",2,0.88,,
20,AJCP00-0150,2,J,0,,2,0.9,,
21,AJCP00-0160,2,J,0,AJCP00-0150,2,2.12,,
22,AJCP00-0170,2,J,0,AJCP00-0160,2,0.68,,
23,AJWB00-0190,2,J,0,,2,0.69,,
24,AJQJ00-0200,2,J,0,,2,1.69,,
25,AEQJ00-0010,2,E,4,,2,10.73,,
26,AEQJ00-0080,2,E,4,,2,60.71,,
27,A-2,1,,-1,A-1,0,0.0,,
28,AFQJ00-0100,2,F,4,,3,0.68,,
29,AFZG00-0140,2,F,4,,5,0.39,,
30,AFZG00-0160,2,F,4,,1,0.49,,
31,AFZG00-0170,2,F,4,,1,0.32,,
32,AKQS00-0020,2,K,4,,1,1.0,,6
33,AKZY00-0030,2,K,4,,1,1.69,,
34,AKCP00-0040,2,K,4,,1,1.4,,
35,AKYY00-0050,2,K,4,,1,1.25,,
36,AKCP00-0060,2,K,4,,1,1.56,,
37,AKCP00-0070,2,K,4,,1,1.43,,
38,AMYG00-0010,2,M,0,,1,0.58,,
39,AWWB00-0010,2,W,1,,2,0.63,,
40,AWWB00-0020,2,W,1,,1,0.97,,
41,AWWB00-0030,2,W,1,,1,0.53,,
42,AWWC00-0040,2,W,1,,1,0.89,,4
43,BWQS00-0090,2,W,1,,1,1.27,,6
44,AWWB00-1600,2,W,1,,1,0.34,,
45,FWQJ00-1960,2,W,1,,1,0.68,,
46,AYWB00-0050,2,Y,3,,1,3.46,,
47,AYQQ00-0060,2,Y,3,,2,8.66,,2
48,AYHS00-0070,2,Y,3,,1,4.78,,
49,AYQQ00-0080,2,Y,3,,1,4.68,,2
50,AYZQ00-0090,2,Y,3,,1,6.5,,
51,AYWC00-1980,2,Y,3,,3,3.38,,4
52,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,3.93,,
53,ACZY00-0010,2,C,4,,1,0.98,,
54,ACYY00-0020,2,C,4,,1,0.57,,
55,ACCP00-0030,2,C,4,,1,0.48,,
56,ACCP00-0060,2,C,4,,1,0.51,,
57,AQHS00-0020,2,Q,2,,1,1.25,,
58,AQHS00-0030,2,Q,2,,1,1.19,,
59,AQHS00-0040,2,Q,2,,1,1.18,,
60,AQHS00-0050,2,Q,2,,1,1.7,,
61,AQHS00-0060,2,Q,2,,1,1.38,,
62,AQHS00-0080,2,Q,2,,1,1.97,,
63,AQHS00-0110,2,Q,2,,1,1.12,,
64,AQHS00-0130,2,Q,2,,2,2.05,,
65,AQHS00-0150,2,Q,2,AQHS00-0130,1,1.13,,
66,AQQS00-0160,2,Q,2,,1,1.22,,6
67,AQHD00-0180,2,Q,2,,1,0.87,,
68,AJZY00-0220,2,J,0,,1,1.97,,
69,AJYY00-0230,2,J,0,,1,0.47,,
70,AJZY00-0240,2,J,0,,1,0.49,,
71,AJZY00-0260,2,J,0,,1,2.7,,
72,AJYY00-0270,2,J,0,,1,0.32,,
73,AJHS00-0300,2,J,0,,1,0.42,,
74,AJWC00-0560,2,J,0,,1,0.51,,4
75,AJWC00-0570,2,J,0,,1,2.27,,4
76,AJWC00-0580,2,J,0,,5,1.26,,4
77,AEQS00-0030,2,E,4,,1,1.01,,6
78,AEHS00-0040,2,E,4,,1,5.96,,
79,AEQX00-0050,2,E,4,,1,0.93,,4
80,AEQS00-0070,2,E,4,,1,0.54,,6
81,AEZY00-0430,2,E,4,,1,2.03,,
82,DXHS00-0010,2,X,2,,1,2.31,,
83,DXHS00-0030,2,X,2,,1,1.19,,
84,AGHXB1-0070,2,G,0,,1,2.16,,4
85,AGHXB3-0090,2,G,0,,1,2.25,,4
86,AGHXB4-0100,2,G,0,,1,2.25,,4
87,AGHS00-0120,2,G,0,,2,2.5,,
88,AGWC00-0130,2,G,0,,1,1.93,,4
89,EGZY00-0140,2,G,0,,1,1.56,,
90,EGYY00-0150,2,G,0,,1,1.62,,
91,ENHSB1-0430,2,N,3,,1,3.14,,
92,ENHSB1-0330,2,N,3,,1,1.65,,
93,ENHSB1-0340,2,N,3,,1,1.13,,
94,ENHDB1-0300,2,N,3,,1,2.13,,
95,ENHDB1-0290,2,N,3,,1,1.49,,
96,ENHDB1-0280,2,N,3,,1,2.43,,
97,ENHDB1-0260,2,N,3,,1,1.24,,
98,ENHDB1-0250,2,N,3,,1,2.36,,
99,ENHDB1-0240,2,N,3,,1,1.48,,
100,ENHDB1-0230,2,N,3,,1,1.84,,
101,ENWCB1-0350,2,N,3,,5,1.62,,4
102,ENHDB1-0190,2,N,3,,1,2.35,,
103,ENHDB1-0180,2,N,3,,1,2.8,,
104,ENHSB1-0170,2,N,3,,1,1.92,,
105,ENHSB1-0420,2,N,3,,1,2.24,,
106,ENHSB1-0410,2,N,3,,1,1.53,,
107,ENHSB1-0400,2,N,3,,1,2.43,,
108,ARWB00-0020,2,R,1,,2,2.02,,
109,ARWB00-0060,2,R,1,,2,1.63,,
110,ARWB00-0070,2,R,1,,2,1.66,,
111,ARWB00-0080,2,R,1,,2,1.37,,
112,ARWB00-0090,2,R,1,,2,1.35,,
113,ARWB00-0100,2,R,1,,2,1.6,,
114,ARWB00-0110,2,R,1,,2,1.36,,
115,ARWB00-0120,2,R,1,,2,0.7,,
116,ARWB00-0130,2,R,1,,2,1.15,,
117,ARWB00-0140,2,R,1,,2,1.64,,
118,A-3,1,,-1,A-2,0,0.0,,
