TaskID,StationID,Team,Start,End,Duration
0,0,[],0.0,0.0,0.0
1,0,[],0.0,0.0,0.0
272,0,[],0.0,0.0,0.0
273,5,"[12, 19]",0.0,1.197185932077889,1.197185932077889
275,2,"[66, 65]",0.0,1.266175349423568,1.266175349423568
276,2,"[30, 3]",0.0,1.0541538121941494,1.0541538121941494
291,0,[],0.0,0.0,0.0
319,0,[],0.0,0.0,0.0
328,5,"[1, 40]",0.0,1.403212143683464,1.403212143683464
337,0,[],0.0,0.0,0.0
339,3,"[44, 18]",0.0,0.79041881849749,0.79041881849749
355,0,[],0.0,0.0,0.0
377,3,"[61, 34]",0.0,1.310289469505084,1.310289469505084
411,0,[],0.0,0.0,0.0
418,0,[],0.0,0.0,0.0
421,4,"[53, 77]",0.0,1.1659090038670317,1.1659090038670317
424,0,[],0.0,0.0,0.0
429,5,"[24, 0]",0.0,1.0142714034599494,1.0142714034599494
430,3,"[48, 60]",0.0,1.0721269180575546,1.0721269180575546
436,1,"[6, 20]",0.0,1.010820287044115,1.010820287044115
441,1,"[5, 22]",0.0,0.3097890990220035,0.3097890990220035
468,0,[],0.0,0.0,0.0
478,4,"[45, 55]",0.0,0.8669074203289076,0.8669074203289076
496,0,[],0.0,0.0,0.0
508,0,[],0.0,0.0,0.0
519,2,"[72, 41]",0.0,0.7219845817999005,0.7219845817999005
610,0,[],0.0,0.0,0.0
618,4,"[56, 14]",0.0,1.3205321438507895,1.3205321438507895
364,1,"[5, 22]",0.3097890990220035,1.3630721042806166,1.053283005258613
425,1,"[71, 10]",0.3097890990220035,1.7524058147134436,1.44261671569144
520,0,[],0.7219845817999005,0.7219845817999005,0.0
568,2,"[72, 41]",0.7219845817999005,1.1385141524668685,0.41652957066696794
567,3,"[44, 18]",0.79041881849749,1.3948566994003055,0.6044378809028156
479,0,[],0.8669074203289076,0.8669074203289076,0.0
550,4,"[45, 55]",0.8669074203289076,1.517087929410692,0.6501805090817845
513,1,"[6, 20]",1.010820287044115,2.2409695343241895,1.2301492472800746
560,5,"[24, 0]",1.0142714034599494,1.7346884307210138,0.7204170272610644
563,2,"[30, 3]",1.0541538121941494,1.8085023609764932,0.7543485487823438
529,3,"[48, 60]",1.0721269180575546,1.9081891914555635,0.836062273398009
562,2,"[72, 41]",1.1385141524668685,1.9252922733043967,0.7867781208375282
573,4,"[53, 77]",1.1659090038670317,1.9761169846541797,0.8102079807871481
555,5,"[12, 19]",1.197185932077889,2.0950753216714397,0.8978893895935507
530,2,"[66, 65]",1.266175349423568,2.223527435407526,0.9573520859839579
518,1,"[5, 22]",1.3630721042806166,2.557972956245807,1.1949008519651902
521,3,"[44, 18]",1.3948566994003055,2.3247611656671756,0.9299044662668701
523,3,"[61, 34]",1.3948566994003055,2.4814381735291677,1.0865814741288622
329,0,[],1.403212143683464,1.403212143683464,0.0
551,5,"[1, 40]",1.403212143683464,2.590545436643106,1.1873332929596423
531,4,"[45, 55]",1.517087929410692,2.4593785255387797,0.9422905961280876
