序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.45,1,6
4,FAQJ00-3450,2,A,0,,2,2.87,1,
5,FDQJ00-2000,2,D,1,,2,1.45,1,
6,AJYY00-0030,2,J,0,,2,1.45,,
7,AJZY00-0040,2,J,0,,2,0.91,,
8,AJYY00-0050,2,J,0,,2,1.61,,
9,AJYY00-0070,2,J,0,AJYY00-0050,2,1.41,,
10,AJCP00-0090,2,J,0,,2,2.44,,
11,AJCP00-0100,2,J,0,,2,0.46,,
12,AJCP00-0130,2,J,0,AJCP00-0100,2,0.95,,
13,AJCP00-0110,2,J,0,,2,1.95,,
14,AJCP00-0120,2,J,0,,2,0.53,,
15,RJND-N90230-29,2,J,0,AJCP00-0110,2,2.32,,
16,AJCP00-0140,2,J,0,"AJCP00-0120,RJND-N90230-29",2,1.48,,
17,AJCP00-0150,2,J,0,,2,1.31,,
18,AJWB00-0190,2,J,0,,2,1.14,,
19,AJQJ00-0200,2,J,0,,2,0.78,,
20,AEQJ00-0010,2,E,4,,2,7.51,,
21,AEQJ00-0080,2,E,4,,2,48.46,,
22,FJQJ00-0370,2,J,0,,2,1.2,,
23,A-2,1,,-1,A-1,0,0.0,,
24,AFZG00-0110,2,F,4,,3,0.86,,
25,AFZG00-0130,2,F,4,,3,0.74,,
26,AFZG00-0140,2,F,4,,5,0.52,,
27,AFZG00-0150,2,F,4,,5,0.6,,
28,AFZG00-0160,2,F,4,,1,0.5,,
29,AKZY00-0030,2,K,4,,1,1.5,,
30,AKCP00-0040,2,K,4,,1,1.64,,
31,AKYY00-0050,2,K,4,,1,1.79,,
32,AKCP00-0060,2,K,4,,1,1.69,,
33,AMYG00-0010,2,M,0,,1,0.52,,
34,AWWB00-0010,2,W,1,,2,0.87,,
35,AWWB00-0020,2,W,1,,1,0.77,,
36,AWWB00-0030,2,W,1,,1,0.65,,
37,AWWC00-0040,2,W,1,,1,0.67,,4
38,AWWB00-0050,2,W,1,,1,0.72,,
39,FWQJ00-1960,2,W,1,,1,0.79,,
40,AYWB00-0050,2,Y,3,,1,3.6,,
41,AYHS00-0070,2,Y,3,,1,4.44,,
42,AYZQ00-0090,2,Y,3,,1,6.69,,
43,AYWC00-1980,2,Y,3,,3,4.02,,4
44,RYND-N11174-25,2,Y,3,RYND-N97734-13,2,8.73,,
45,RYND-N97734-13,2,Y,3,AYZQ00-0090,1,6.18,,
46,FYQJ00-1130,2,Y,3,RYND-N11174-25,2,6.16,,
47,ACYY00-0020,2,C,4,,1,0.76,,
48,ACCP00-0030,2,C,4,,1,0.62,,
49,ACCP00-0040,2,C,4,,1,0.49,,
50,ACCP00-0050,2,C,4,,1,0.62,,
51,ACCP00-0060,2,C,4,,1,0.48,,
52,ACZY00-0090,2,C,4,,1,0.76,,
53,AQHS00-0030,2,Q,2,,1,1.05,,
54,AQHS00-0050,2,Q,2,,1,1.21,,
55,AQHS00-0090,2,Q,2,,1,1.89,,
56,AQHS00-0110,2,Q,2,,1,1.68,,
57,AQHS00-0120,2,Q,2,,1,1.59,,
58,AQHS00-0150,2,Q,2,,1,0.87,,
59,AQQJ00-0170,2,Q,2,,2,2.92,,2
60,AQHD00-0180,2,Q,2,,1,1.07,,
61,AJZY00-0220,2,J,0,,1,2.97,,
62,AJYY00-0230,2,J,0,,1,0.38,,
63,AJYY00-0250,2,J,0,,1,3.23,,
64,AJZY00-0260,2,J,0,,1,2.78,,
65,AJYY00-0270,2,J,0,,1,0.46,,
66,AJQX00-0290,2,J,0,,1,0.97,,4
67,AJHS00-0300,2,J,0,,1,0.66,,
68,AJWC00-0560,2,J,0,,1,0.45,,4
69,AJWC00-0570,2,J,0,,1,2.39,,4
70,AEQS00-0020,2,E,4,,1,1.96,,6
71,AEQS00-0070,2,E,4,,1,0.47,,6
72,DXHS00-0010,2,X,2,,1,2.81,,
73,AGHXB2-0080,2,G,0,,1,2.59,,4
74,AGHXB3-0090,2,G,0,,1,1.46,,4
75,AGHXB5-0110,2,G,0,,1,1.63,,4
76,AGHS00-0120,2,G,0,,2,2.51,,
77,AGWC00-0130,2,G,0,,1,1.49,,4
78,ENHSB1-0430,2,N,3,,1,1.73,,
79,ENHSB1-0320,2,N,3,,1,1.54,,
80,ENHSB1-0330,2,N,3,,1,2.07,,
81,ENHSB1-0340,2,N,3,,1,1.66,,
82,ENWCB1-0370,2,N,3,,1,2.3,,4
83,ENQSB1-0360,2,N,3,,1,1.27,,6
84,ENHDB1-0300,2,N,3,,1,1.68,,
85,ENHDB1-0290,2,N,3,,1,1.68,,
86,ENHDB1-0280,2,N,3,,1,1.99,,
87,ENHDB1-0240,2,N,3,,1,2.13,,
88,ENWCB1-0350,2,N,3,,5,1.78,,4
89,ENHDB1-0210,2,N,3,,1,1.87,,
90,ENHDB1-0200,2,N,3,,1,2.14,,
91,ENHDB1-0180,2,N,3,,1,1.42,,
92,ENHSB1-0410,2,N,3,,1,2.34,,
93,ENHSB1-0400,2,N,3,,1,1.15,,
94,ARWB00-0030,2,R,1,,2,2.45,,
95,ARWB00-0050,2,R,1,,2,2.34,,
96,ARWB00-0060,2,R,1,,2,2.1,,
97,ARWB00-0080,2,R,1,,2,3.06,,
98,ARWB00-0110,2,R,1,,2,1.43,,
99,ARWB00-0140,2,R,1,,2,1.39,,
100,A-3,1,,-1,A-2,0,0.0,,
101,AJYYA3-0330,2,J,0,,2,4.74,,
102,AJZYA4-0340,2,J,0,,2,0.99,,
103,AJZYA5-0350,2,J,0,AJZYA4-0340,2,0.69,,
104,AJZY00-0390,2,J,0,,2,0.75,,
105,RJND-N89717-19,2,J,0,RJND-N61112-14,2,3.54,,
106,RJND-N61112-14,2,J,0,AJYYA3-0330,2,7.8,,
107,AJYYB1-0400,2,J,0,RJND-N89717-19,2,1.26,,
108,AJZYB3-0420,2,J,0,AJZYA5-0350,2,0.82,,
109,RJND-N74617-20,2,J,0,RJND-N52939-12,2,0.94,,
110,RJND-N52939-12,2,J,0,AJZYA4-0340,2,1.11,,
111,AJYY00-0440,2,J,0,RJND-N74617-20,2,0.79,,
112,AJZY00-0450,2,J,0,AJZYB3-0420,2,0.71,,
113,AJCP00-0460,2,J,0,,2,1.08,,
114,AJCP00-0480,2,J,0,,2,1.22,,
115,AJYYC2-0500,2,J,0,,2,0.75,,
