scenario_id,stage,severity,reschedule_start_time,TaskID,baseline_start,release_time,delay_h,eligible_task_count,delayed_task_count
low_early,early,low,270.06380605171074,50,501.7551670031584,513.230969618216,11.475802615057626,792,40
low_early,early,low,270.06380605171074,72,484.58135598585415,492.72808445443985,8.146728468585728,792,40
low_early,early,low,270.06380605171074,75,485.6756315791364,490.9608056570818,5.285174077945412,792,40
low_early,early,low,270.06380605171074,83,466.4018840997951,478.804973336465,12.403089236669949,792,40
low_early,early,low,270.06380605171074,143,462.2278059386912,471.58390740554466,9.356101466853481,792,40
low_early,early,low,270.06380605171074,159,486.7021734695257,497.3283011565582,10.6261276870325,792,40
low_early,early,low,270.06380605171074,172,564.4221103182517,577.2582633232882,12.836153005036568,792,40
low_early,early,low,270.06380605171074,186,545.5887597400312,552.3550567809693,6.766297040938193,792,40
low_early,early,low,270.06380605171074,202,556.905263160356,568.6967841314954,11.791520971139422,792,40
low_early,early,low,270.06380605171074,214,552.2110689275108,561.3215806165338,9.110511689022873,792,40
low_early,early,low,270.06380605171074,237,651.5448363722932,663.0582830307703,11.513446658477182,792,40
low_early,early,low,270.06380605171074,359,361.05689939696686,371.1614507834249,10.104551386458047,792,40
low_early,early,low,270.06380605171074,367,408.5861242475205,422.17068632637,13.584562078849501,792,40
low_early,early,low,270.06380605171074,390,289.2957543239924,301.25173739290426,11.955983068911829,792,40
low_early,early,low,270.06380605171074,404,324.1557216369656,330.0987771768933,5.943055539927679,792,40
low_early,early,low,270.06380605171074,433,286.0229812085152,300.6220786895265,14.599097481011293,792,40
low_early,early,low,270.06380605171074,548,353.82855690220737,365.36712434555375,11.538567443346393,792,40
low_early,early,low,270.06380605171074,556,645.6434524136297,657.4913426881335,11.847890274503829,792,40
low_early,early,low,270.06380605171074,559,877.5971292272787,889.6188604252181,12.021731197939411,792,40
low_early,early,low,270.06380605171074,684,531.6034383934655,544.9259272505057,13.322488857040224,792,40
low_early,early,low,270.06380605171074,689,771.9080927747083,779.0958924084119,7.187799633703701,792,40
low_early,early,low,270.06380605171074,691,567.725897510674,577.2038127501812,9.477915239507173,792,40
low_early,early,low,270.06380605171074,726,1005.8507098949656,1015.9910419745612,10.14033207959557,792,40
low_early,early,low,270.06380605171074,730,1046.1180105940707,1055.3695233094177,9.251512715347033,792,40
low_early,early,low,270.06380605171074,735,1054.4224889693137,1059.6421881821211,5.219699212807537,792,40
low_early,early,low,270.06380605171074,748,1117.583288841676,1129.4999959727686,11.916707131092707,792,40
low_early,early,low,270.06380605171074,815,1047.791903486684,1061.3492307429233,13.557327256239113,792,40
low_early,early,low,270.06380605171074,883,1192.8104720637714,1204.0065966768332,11.196124613061883,792,40
low_early,early,low,270.06380605171074,1365,282.88493251039813,296.8607915849349,13.975859074536746,792,40
low_early,early,low,270.06380605171074,1418,303.86769786781883,309.7060516733564,5.8383538055375865,792,40
low_early,early,low,270.06380605171074,1526,295.6508718381409,302.36796120203843,6.717089363897494,792,40
low_early,early,low,270.06380605171074,1567,304.52031722689594,318.841034801086,14.320717574190043,792,40
low_early,early,low,270.06380605171074,1572,333.3346461208683,338.6255608233733,5.290914702505028,792,40
