序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.7,1,6
4,FAQJ00-3450,2,,2,2.9,1,
9,AJZY00-0020,2,,2,1.09,,
10,AJZY00-0040,2,AJZY00-0020,2,1.35,,
24,AJWB00-0180,2,,2,1.04,,
30,FJQJ00-0370,2,,2,1.03,,
,RAND-N33256-3,2,A-1,2,1.0,,
32,A-2,1,RAND-N33256-3,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
37,AFZG00-0140,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
49,AWWB00-0020,2,,1,0.8,,
53,BWQS00-0090,2,,1,1.0,,6
56,AYWB00-0040,2,,1,4.2,,
57,AYWB00-0050,2,,1,4.2,,
59,AYHS00-0070,2,,1,5.2,,
60,AYQQ00-0080,2,,1,5.7,,2
62,AYWC00-1980,2,,3,4.6,,4
63,FYQJ00-1130,2,,2,6.3,,
65,ACYY00-0020,2,,1,0.85,,
68,ACCP00-0050,2,,1,0.5,,
75,AQHS00-0040,2,,1,1.15,,
79,AQHS00-0080,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
83,AQHS00-0120,2,,1,1.6,,
84,AQHS00-0130,2,,2,1.6,,
94,AJYY00-0250,2,,1,2.36,,
97,AJZY00-0280,2,,1,0.41,,
104,AEQS00-0020,2,,1,1.6,,6
112,DXHS00-0020,2,,2,1.8,,
116,AGHXB3-0090,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
121,EGZY00-0140,2,,1,1.8,,
124,ENHSB1-0380,2,,1,2.2,,
126,ENHSB1-0310,2,,1,1.8,,
134,ENHDB1-0280,2,,1,1.8,,
135,ENHDB1-0270,2,,1,1.8,,
139,ENHDB1-0230,2,,1,1.8,,
142,ENHDB1-0210,2,,1,1.8,,
153,ARWB00-0030,2,,2,2.4,,
156,ARWB00-0060,2,,2,2.4,,
157,ARWB00-0070,2,,2,2.4,,
162,ARWB00-0120,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
169,AJZYA5-0350,2,,2,0.9,,
172,AJZY00-0390,2,,2,0.99,,
174,AJYYB2-0410,2,,2,1.75,,
176,AJZYB4-0430,2,,2,1.75,,
178,AJZY00-0450,2,AJZYA5-0350,2,0.85,,
184,AJZYC3-0510,2,,2,0.96,,
185,AJCPD1-0520,2,,2,2.41,,
186,AJCPD2-0530,2,,2,3.12,,
190,AJWC00-0660,2,,2,1.96,,4
191,AJWC00-0670,2,,2,0.43,,4
193,A-4,1,A-2,0,0.0,,
194,DFQJB1-0340,2,,2,1.1,,
195,DFQJB1-0350,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
202,DFQJC2-0420,2,,2,1.3,,
206,DFYY00-0460,2,,2,1.3,,
207,DFZG00-0470,2,,2,1.6,,
208,DFQS00-0480,2,,2,1.0,,6
211,BMYY00-0121,2,,2,14.8,,
214,DFZY00-3100,2,,2,0.7,,
220,BMZY00-0410,2,,2,2.4,,
221,BMYY00-0420,2,,2,2.4,,
225,FMQJ00-2540,2,,2,2.9,,
228,A-5,1,"A-3,A-4",0,0.0,,
232,DFQJA3-0880,2,,2,0.9,,
241,A-6,1,"A-3,A-4",0,0.0,,
244,AAQX00-0140,2,,2,8.7,,4
246,AFHS00-0020,2,,1,2.3,,
247,FFHS00-3530,2,,2,1.2,,
251,AKHS00-0110,2,,2,2.4,,
260,ACWB00-0170,2,ACWB00-0175,2,2.6,,
261,ACWB00-0175,2,,1,0.75,,
269,ABWC00-0160,2,,1,3.8,,4
273,ABWCB1-0110,2,,2,0.9,,4
275,ABWCB2-0200,2,ABWCB1-0110,2,3.8,,4
287,ENQSA2-0100,2,,2,1.8,,6
289,ARHS00-0150,2,,1,4.0,,
291,B,1,A,0,0.0,,
292,B-1,1,,0,0.0,,
296,DMYG00-1760,2,,2,1.0,,
