序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,FAQJ00-3450,2,A,0,,2,3.07,1,
4,FDQJ00-2000,2,D,1,,2,2.56,1,
5,AJYY00-0010,2,J,0,,2,1.2,,
6,AJYY00-0030,2,J,0,AJYY00-0010,2,0.9,,
7,AJZY00-0020,2,J,0,,2,1.06,,
8,RJND-N42475-4,2,J,0,AJZY00-0020,2,0.81,,
9,AJZY00-0040,2,J,0,RJND-N42475-4,2,1.58,,
10,AJYY00-0050,2,J,0,,2,1.22,,
11,AJZY00-0060,2,J,0,,2,1.51,,
12,AJZY00-0080,2,J,0,AJZY00-0060,2,1.23,,
13,AJCP00-0090,2,J,0,,2,2.56,,
14,AJCP00-0100,2,J,0,,2,0.7,,
15,AJCP00-0130,2,J,0,AJCP00-0100,2,1.31,,
16,AJCP00-0110,2,J,0,,2,2.78,,
17,AJCP00-0140,2,J,0,AJCP00-0110,2,1.31,,
18,AJCP00-0160,2,J,0,,2,2.46,,
19,AJCP00-0170,2,J,0,AJCP00-0160,2,0.57,,
20,RJND-N19005-3,2,J,0,RJND-N78866-0,2,0.89,,
21,RJND-N78866-0,2,J,0,AJWB00-0190,2,0.88,,
22,AJWB00-0180,2,J,0,RJND-N19005-3,2,1.16,,
23,AJWB00-0190,2,J,0,,2,0.94,,
24,AEQJ00-0010,2,E,4,,2,8.59,,
25,AGQJ00-0010,2,G,0,,2,4.54,,
26,FJQJ00-0370,2,J,0,,2,0.86,,
27,ABHS00-2180,2,B,2,,2,1.67,,
28,A-2,1,,-1,A-1,0,0.0,,
29,AFQJ00-0100,2,F,4,,3,0.71,,
30,AFZG00-0110,2,F,4,,3,0.89,,
31,AFZG00-0120,2,F,4,,3,0.46,,
32,AFZG00-0140,2,F,4,,5,0.47,,
33,AFZG00-0150,2,F,4,,5,0.4,,
34,AFZG00-0160,2,F,4,,1,0.67,,
35,AKZY00-0030,2,K,4,,1,0.91,,
36,AKCP00-0040,2,K,4,,1,1.78,,
37,AKYY00-0050,2,K,4,,1,1.43,,
38,AKCP00-0060,2,K,4,,1,2.03,,
39,AWWB00-0020,2,W,1,,1,0.56,,
40,AWWC00-0040,2,W,1,,1,0.58,,4
41,BWQS00-0090,2,W,1,,1,1.24,,6
42,AWWB00-1600,2,W,1,,1,0.62,,
43,FWQJ00-1960,2,W,1,,1,0.64,,
44,AYQQ00-0060,2,Y,3,,2,7.61,,2
45,AYHS00-0070,2,Y,3,,1,5.19,,
46,AYQQ00-0080,2,Y,3,,1,5.16,,2
47,AYZQ00-0090,2,Y,3,,1,4.88,,
48,AYWC00-1980,2,Y,3,,3,4.78,,4
49,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,4.17,,
50,ACYY00-0020,2,C,4,,1,0.66,,
51,ACZY00-0090,2,C,4,,1,1.01,,
52,AQHS00-0030,2,Q,2,,1,1.53,,
53,AQHS00-0060,2,Q,2,,1,1.44,,
54,AQHS00-0080,2,Q,2,,1,1.16,,
55,AQHS00-0090,2,Q,2,,1,1.5,,
56,AQHS00-0100,2,Q,2,,1,1.89,,
57,AQHS00-0110,2,Q,2,,1,2.14,,
58,AQHS00-0130,2,Q,2,,2,1.49,,
59,AQHS00-0140,2,Q,2,,2,0.74,,
60,AQQS00-0160,2,Q,2,,1,0.75,,6
61,AQQJ00-0170,2,Q,2,AQHS00-0130,2,3.93,,2
62,AQHD00-0180,2,Q,2,,1,1.44,,
63,AJZY00-0220,2,J,0,,1,2.41,,
64,AJYY00-0230,2,J,0,,1,0.35,,
65,AJZY00-0240,2,J,0,,1,0.4,,
66,AJYY00-0250,2,J,0,,1,1.96,,
67,AJQX00-0290,2,J,0,,1,1.31,,4
68,AJHS00-0300,2,J,0,,1,0.61,,
69,AJWC00-0560,2,J,0,,1,0.56,,4
70,AJWC00-0570,2,J,0,,1,1.84,,4
71,AEQS00-0020,2,E,4,,1,1.15,,6
72,AEQS00-0030,2,E,4,,1,0.96,,6
73,AEHS00-0040,2,E,4,,1,7.26,,
74,AEQX00-0050,2,E,4,,1,1.16,,4
75,DXHS00-0010,2,X,2,,1,1.52,,
76,DXHS00-0020,2,X,2,,2,1.87,,
77,DXHS00-0030,2,X,2,,1,0.96,,
78,AGHXB3-0090,2,G,0,,1,2.01,,4
79,AGHXB5-0110,2,G,0,,1,1.42,,4
80,AGHS00-0120,2,G,0,,2,2.43,,
81,AGWC00-0130,2,G,0,,1,1.92,,4
82,EGZY00-0140,2,G,0,,1,1.81,,
83,EGYY00-0150,2,G,0,,1,1.89,,
84,ENWCB1-0390,2,N,3,,2,2.04,,4
85,ENHSB1-0380,2,N,3,,1,2.0,,
86,ENHSB1-0430,2,N,3,,1,2.47,,
87,ENHSB1-0310,2,N,3,,1,2.16,,
88,ENHSB1-0320,2,N,3,,1,1.42,,
89,ENQSB1-0360,2,N,3,,1,1.58,,6
90,ENHDB1-0300,2,N,3,,1,2.48,,
91,ENHDB1-0290,2,N,3,,1,1.98,,
92,ENHDB1-0280,2,N,3,,1,1.05,,
93,ENHDB1-0260,2,N,3,,1,2.14,,
94,ENHDB1-0250,2,N,3,,1,1.57,,
95,ENHDB1-0230,2,N,3,,1,1.36,,
96,ENWCB1-0350,2,N,3,,5,2.12,,4
97,ENHDB1-0210,2,N,3,,1,2.2,,
98,ENHDB1-0200,2,N,3,,1,1.76,,
99,ENHDB1-0190,2,N,3,,1,1.35,,
100,ENHSB1-0170,2,N,3,,1,2.04,,
101,ENHSB1-0440,2,N,3,,1,2.17,,
102,ENHSB1-0420,2,N,3,,1,2.66,,
103,ENHSB1-0400,2,N,3,,1,3.52,,
104,ARWB00-0030,2,R,1,,2,3.02,,
105,ARWB00-0040,2,R,1,,2,2.62,,
106,ARWB00-0050,2,R,1,,2,1.52,,
107,ARWB00-0080,2,R,1,,2,2.71,,
108,ARWB00-0090,2,R,1,,2,1.3,,
109,ARWB00-0100,2,R,1,,2,1.2,,
110,ARWB00-0110,2,R,1,,2,1.31,,
111,ARWB00-0120,2,R,1,,2,1.23,,
112,ARWB00-0140,2,R,1,,2,1.17,,
113,A-3,1,,-1,A-2,0,0.0,,
114,AJZYA6-0360,2,J,0,,2,3.2,,
115,AJYY00-0380,2,J,0,,2,0.95,,
116,AJYYB1-0400,2,J,0,,2,0.88,,
117,AJZYB3-0420,2,J,0,AJZYA6-0360,2,0.59,,
