序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
4,FAQJ00-3450,2,,2,2.9,1,
8,AJYY00-0030,2,,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
14,AJZY00-0080,2,,2,1.35,,
15,AJCP00-0090,2,,2,2.06,,
21,AJCP00-0150,2,,2,1.04,,
24,AJWB00-0180,2,,2,1.04,,
27,AEQJ00-0010,2,,2,8.3,,
31,ABHS00-2180,2,,2,1.8,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
36,AFZG00-0130,2,,3,0.5,,
39,AFZG00-0160,2,,1,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
43,AKCP00-0040,2,,1,1.4,,
44,AKYY00-0050,2,,1,1.5,,
48,AWWB00-0010,2,,2,0.8,,
53,BWQS00-0090,2,,1,1.0,,6
54,AWWB00-1600,2,,1,0.5,,
57,AYWB00-0050,2,,1,4.2,,
60,AYQQ00-0080,2,,1,5.7,,2
62,AYWC00-1980,2,,3,4.6,,4
67,ACCP00-0040,2,,1,0.6,,
70,ACCP00-0070,2,,1,0.5,,
76,AQHS00-0050,2,,1,1.15,,
78,AQHS00-0070,2,,1,1.6,,
82,AQHS00-0110,2,,1,1.6,,
85,AQHS00-0140,2,,2,0.95,,
86,AQHS00-0150,2,,1,0.95,,
88,AQQJ00-0170,2,,2,3.2,,2
91,AJZY00-0220,2,,1,2.36,,
93,AJZY00-0240,2,,1,0.41,,
94,AJYY00-0250,2,,1,2.36,,
102,AJWC00-0570,2,,1,1.66,,4
104,AEQS00-0020,2,,1,1.6,,6
105,AEQS00-0030,2,,1,1.0,,6
110,AEZY00-0430,2,,1,1.5,,
114,AGHXB1-0070,2,,1,2.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
121,EGZY00-0140,2,,1,1.8,,
122,EGYY00-0150,2,,1,1.8,,
130,ENWCB1-0370,2,,1,2.2,,4
133,ENHDB1-0290,2,,1,1.8,,
137,ENHDB1-0250,2,,1,1.8,,
140,ENHDB1-0220,2,,1,1.8,,
142,ENHDB1-0210,2,,1,1.8,,
143,ENHDB1-0200,2,,1,1.8,,
146,ENHSB1-0170,2,,1,1.8,,
153,ARWB00-0030,2,,2,2.4,,
157,ARWB00-0070,2,,2,2.4,,
159,ARWB00-0090,2,,2,1.2,,
161,ARWB00-0110,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
169,AJZYA5-0350,2,,2,0.9,,
170,AJZYA6-0360,2,AJZYA5-0350,2,4.36,,
172,AJZY00-0390,2,,2,0.99,,
174,AJYYB2-0410,2,,2,1.75,,
176,AJZYB4-0430,2,,2,1.75,,
178,AJZY00-0450,2,AJZYA6-0360,2,0.85,,
179,AJCP00-0460,2,,2,1.19,,
182,AJYYC1-0490,2,,2,0.64,,
183,AJYYC2-0500,2,AJYYC1-0490,2,0.96,,
188,AJCPD4-0550,2,,2,8.34,,
189,AJWC00-0650,2,,2,1.83,,4
191,AJWC00-0670,2,,2,0.43,,4
192,AJCP00-0770,2,,2,1.02,,
193,A-4,1,A-2,0,0.0,,
195,DFQJB1-0350,2,,2,1.1,,
204,DFZY00-0440,2,,2,1.3,,
206,DFYY00-0460,2,,2,1.3,,
208,DFQS00-0480,2,,2,1.0,,6
213,DFZY00-3090,2,,2,0.7,,
214,DFZY00-3100,2,,2,0.7,,
218,BMYY00-0311,2,,2,1.0,,
224,DMYY00-0770,2,,2,1.4,,
225,FMQJ00-2540,2,,2,2.9,,
227,AYQJ00-0140,2,,2,18.1,,
228,A-5,1,"A-3,A-4",0,0.0,,
232,DFQJA3-0880,2,,2,0.9,,
233,DFZYA4-1210,2,,2,4.1,,
234,DFZYA4-1220,2,,2,4.1,,
235,DFYYA4-1230,2,,2,4.1,,
236,DFYYA4-1240,2,DFQJA3-0880,2,4.1,,
241,A-6,1,"A-3,A-4",0,0.0,,
248,AKHD00-0080,2,,1,7.2,,
249,AKHD00-0090,2,,1,7.2,,
252,AKWC00-0120,2,,2,2.7,,4
