序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
7,AJYY00-0010,2,,2,1.09,,
14,AJZY00-0080,2,,2,1.35,,
17,AJCP00-0130,2,,2,1.35,,
18,AJCP00-0110,2,,2,2.06,,
19,AJCP00-0120,2,,2,0.57,,
20,AJCP00-0140,2,"AJCP00-0110,AJCP00-0120",2,1.35,,
22,AJCP00-0160,2,,2,2.52,,
25,AJWB00-0190,2,,2,1.06,,
,RAND-N46987-5,2,A-1,2,1.0,,
32,A-2,1,RAND-N46987-5,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
36,AFZG00-0130,2,,3,0.5,,
39,AFZG00-0160,2,,1,0.5,,
43,AKCP00-0040,2,,1,1.4,,
48,AWWB00-0010,2,,2,0.8,,
50,AWWB00-0030,2,,1,0.8,,
51,AWWC00-0040,2,,1,0.8,,4
52,AWWB00-0050,2,,1,0.8,,
54,AWWB00-1600,2,,1,0.5,,
59,AYHS00-0070,2,,1,5.2,,
63,FYQJ00-1130,2,,2,6.3,,
66,ACCP00-0030,2,,1,0.6,,
68,ACCP00-0050,2,,1,0.5,,
69,ACCP00-0060,2,,1,0.5,,
70,ACCP00-0070,2,,1,0.5,,
71,ACCP00-0080,2,,1,0.5,,
72,ACZY00-0090,2,,1,0.85,,
74,AQHS00-0030,2,,1,1.15,,
78,AQHS00-0070,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
83,AQHS00-0120,2,,1,1.6,,
85,AQHS00-0140,2,AQHS00-0120,2,0.95,,
90,AQWC00-0190,2,,1,1.0,,4
100,AJYYA1-0310,2,,2,1.28,,
101,AJWC00-0560,2,,1,0.51,,4
103,AJWC00-0580,2,,5,1.53,,4
111,DXHS00-0010,2,,1,2.3,,
112,DXHS00-0020,2,,2,1.8,,
117,AGHXB4-0100,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
121,EGZY00-0140,2,,1,1.8,,
123,ENWCB1-0390,2,,2,2.2,,4
124,ENHSB1-0380,2,,1,2.2,,
126,ENHSB1-0310,2,,1,1.8,,
129,ENHSB1-0340,2,,1,1.8,,
132,ENHDB1-0300,2,,1,1.8,,
134,ENHDB1-0280,2,,1,1.8,,
142,ENHDB1-0210,2,,1,1.8,,
145,ENHDB1-0180,2,,1,1.8,,
146,ENHSB1-0170,2,,1,1.8,,
148,ENHSB1-0420,2,,1,2.2,,
155,ARWB00-0050,2,,2,2.4,,
159,ARWB00-0090,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
167,AJYYA3-0330,2,AJYYA2-0320,2,4.36,,
168,AJZYA4-0340,2,,2,1.28,,
,RAND-N26219-4,2,AJZYA4-0340,2,1.0,,
169,AJZYA5-0350,2,RAND-N26219-4,2,0.9,,
177,AJYY00-0440,2,AJZYA4-0340,2,0.85,,
183,AJYYC2-0500,2,,2,0.96,,
184,AJZYC3-0510,2,,2,0.96,,
185,AJCPD1-0520,2,,2,2.41,,
190,AJWC00-0660,2,,2,1.96,,4
193,A-4,1,A-2,0,0.0,,
199,DFQJB2-0390,2,,2,0.7,,
200,DFQJB2-0400,2,,2,0.7,,
202,DFQJC2-0420,2,,2,1.3,,
205,DFYY00-0450,2,,2,1.3,,
209,BMZG00-0020,2,,2,0.7,,
211,BMYY00-0121,2,,2,14.8,,
213,DFZY00-3090,2,,2,0.7,,
214,DFZY00-3100,2,,2,0.7,,
228,A-5,1,"A-3,A-4",0,0.0,,
229,DFQJA3-0850,2,,2,0.9,,
237,DFQJA3-0970,2,,2,0.9,,
,RAND-N73767-2,2,A-4,2,1.0,,
241,A-6,1,"A-3,RAND-N73767-2",0,0.0,,
244,AAQX00-0140,2,,2,8.7,,4
247,FFHS00-3530,2,,2,1.2,,
250,AKHS00-0100,2,,2,1.7,,
254,ADHD00-0060,2,,1,3.7,,
255,ADHD00-0700,2,,1,3.3,,
258,AYZQ00-0110,2,,1,6.6,,
