序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,2.02,1,6
4,FAQJ00-3450,2,A,0,,2,3.81,1,
5,FDQJ00-2000,2,D,1,,2,1.26,1,
6,ABQJ00-0010,2,B,2,,2,3.5,1,
7,AJYY00-0010,2,J,0,,2,1.06,,
8,AJZY00-0020,2,J,0,,2,1.44,,
9,AJYY00-0050,2,J,0,,2,0.93,,
10,RJND-N1727-42,2,J,0,AJYY00-0050,2,1.39,,
11,AJYY00-0070,2,J,0,RJND-N1727-42,2,1.11,,
12,AJZY00-0060,2,J,0,,2,1.15,,
13,AJZY00-0080,2,J,0,AJZY00-0060,2,1.37,,
14,AJCP00-0090,2,J,0,,2,2.14,,
15,AJCP00-0100,2,J,0,,2,0.58,,
16,RJND-N8567-12,2,J,0,AJCP00-0100,2,0.23,,
17,AJCP00-0130,2,J,0,RJND-N8567-12,2,1.39,,
18,AJCP00-0110,2,J,0,,2,2.3,,
19,AJCP00-0120,2,J,0,,2,0.66,,
20,RJND-N83126-45,2,J,0,AJCP00-0110,2,2.11,,
21,AJCP00-0140,2,J,0,"AJCP00-0120,RJND-N83126-45",2,1.88,,
22,AJCP00-0150,2,J,0,,2,0.63,,
23,RJND-N87058-6,2,J,0,AJCP00-0150,2,1.2,,
24,AJCP00-0160,2,J,0,RJND-N87058-6,2,2.44,,
25,AJCP00-0170,2,J,0,AJCP00-0160,2,0.62,,
26,AJWB00-0180,2,J,0,AJWB00-0190,2,0.86,,
27,AJWB00-0190,2,J,0,,2,1.2,,
28,AJQJ00-0200,2,J,0,,2,1.22,,
29,AEQJ00-0010,2,E,4,,2,7.39,,
30,AGQJ00-0010,2,G,0,,2,3.73,,
31,FJQJ00-0370,2,J,0,,2,0.73,,
32,ABHS00-2180,2,B,2,,2,1.89,,
33,A-2,1,,-1,A-1,0,0.0,,
34,AFQJ00-0100,2,F,4,,3,0.67,,
35,AFZG00-0110,2,F,4,,3,0.89,,
36,AFZG00-0120,2,F,4,,3,0.46,,
37,AFZG00-0130,2,F,4,,3,0.53,,
38,AFZG00-0140,2,F,4,,5,0.55,,
39,AFZG00-0150,2,F,4,,5,0.68,,
40,AFZG00-0160,2,F,4,,1,0.57,,
41,AFZG00-0170,2,F,4,,1,0.54,,
42,AKQS00-0020,2,K,4,,1,1.19,,6
43,AKZY00-0030,2,K,4,,1,2.06,,
44,AKCP00-0040,2,K,4,,1,1.55,,
45,AKYY00-0050,2,K,4,,1,1.29,,
46,AKCP00-0060,2,K,4,,1,1.21,,
47,AKCP00-0070,2,K,4,,1,1.74,,
48,AMYG00-0010,2,M,0,,1,0.77,,
49,AWWB00-0010,2,W,1,,2,0.73,,
50,AWWB00-0020,2,W,1,,1,0.73,,
51,AWWB00-0030,2,W,1,,1,0.79,,
52,AWWC00-0040,2,W,1,,1,0.53,,4
53,AWWB00-0050,2,W,1,,1,0.63,,
54,BWQS00-0090,2,W,1,,1,1.01,,6
55,AWWB00-1600,2,W,1,,1,0.55,,
56,FWQJ00-1960,2,W,1,,1,0.84,,
57,AYWB00-0040,2,Y,3,,1,3.41,,
58,AYWB00-0050,2,Y,3,,1,3.48,,
59,AYQQ00-0060,2,Y,3,,2,6.42,,2
60,AYHS00-0070,2,Y,3,,1,8.42,,
61,AYQQ00-0080,2,Y,3,,1,3.99,,2
62,AYZQ00-0090,2,Y,3,,1,5.75,,
63,AYWC00-1980,2,Y,3,,3,4.57,,4
64,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,6.74,,
65,ACZY00-0010,2,C,4,,1,0.97,,
66,ACYY00-0020,2,C,4,,1,0.6,,
67,ACCP00-0030,2,C,4,,1,0.82,,
68,ACCP00-0040,2,C,4,,1,0.66,,
69,ACCP00-0050,2,C,4,,1,0.39,,
70,ACCP00-0060,2,C,4,,1,0.51,,
71,ACCP00-0070,2,C,4,,1,0.57,,
72,ACCP00-0080,2,C,4,,1,0.55,,
73,ACZY00-0090,2,C,4,,1,0.74,,
74,AQHS00-0020,2,Q,2,,1,1.22,,
75,AQHS00-0030,2,Q,2,,1,0.94,,
76,AQHS00-0040,2,Q,2,,1,0.91,,
77,AQHS00-0050,2,Q,2,,1,0.9,,
78,AQHS00-0060,2,Q,2,,1,1.35,,
79,AQHS00-0070,2,Q,2,,1,1.19,,
80,AQHS00-0080,2,Q,2,,1,1.5,,
81,AQHS00-0090,2,Q,2,,1,1.39,,
82,AQHS00-0110,2,Q,2,,1,1.94,,
83,AQHS00-0120,2,Q,2,,1,1.56,,
84,AQHS00-0130,2,Q,2,,2,1.53,,
85,AQHS00-0140,2,Q,2,AQHS00-0120,2,1.08,,
86,AQQS00-0160,2,Q,2,,1,0.73,,6
87,AQQJ00-0170,2,Q,2,AQHS00-0130,2,4.46,,2
88,AQHD00-0180,2,Q,2,,1,1.09,,
89,AQWC00-0190,2,Q,2,,1,1.48,,4
90,AJZY00-0220,2,J,0,,1,2.04,,
91,AJYY00-0230,2,J,0,,1,0.4,,
92,AJZY00-0240,2,J,0,,1,0.51,,
93,AJYY00-0250,2,J,0,,1,2.51,,
94,AJZY00-0260,2,J,0,,1,2.5,,
95,AJYY00-0270,2,J,0,,1,0.49,,
96,AJQX00-0290,2,J,0,,1,1.22,,4
97,AJHS00-0300,2,J,0,,1,0.49,,
98,AJYYA1-0310,2,J,0,,2,1.23,,
99,AJWC00-0560,2,J,0,,1,0.44,,4
100,AJWC00-0570,2,J,0,,1,1.54,,4
101,AJWC00-0580,2,J,0,,5,1.66,,4
102,AEQS00-0020,2,E,4,,1,1.9,,6
103,AEQS00-0030,2,E,4,,1,0.52,,6
104,AEHS00-0040,2,E,4,,1,7.84,,
105,AEQX00-0050,2,E,4,,1,0.74,,4
106,AEQS00-0060,2,E,4,,1,0.74,,6
107,AEQS00-0070,2,E,4,,1,0.46,,6
108,AEZY00-0430,2,E,4,,1,1.14,,
109,DXHS00-0010,2,X,2,,1,1.86,,
110,DXHS00-0020,2,X,2,,2,1.79,,
111,DXHS00-0030,2,X,2,,1,0.92,,
112,AGHXB2-0080,2,G,0,,1,1.94,,4
113,AGHXB3-0090,2,G,0,,1,2.12,,4
114,AGHXB4-0100,2,G,0,,1,1.09,,4
115,AGHXB5-0110,2,G,0,,1,2.53,,4
116,AGHS00-0120,2,G,0,,2,2.37,,
