序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,FDQJ00-2000,2,D,1,,2,2.26,1,
4,ABQJ00-0010,2,B,2,,2,4.4,1,
5,AJYY00-0010,2,J,0,,2,1.1,,
6,AJZY00-0020,2,J,0,,2,1.1,,
7,AJYY00-0070,2,J,0,,2,0.77,,
8,AJZY00-0060,2,J,0,,2,1.58,,
9,AJCP00-0090,2,J,0,,2,2.5,,
10,AJCP00-0130,2,J,0,,2,1.1,,
11,AJCP00-0110,2,J,0,,2,2.04,,
12,AJCP00-0140,2,J,0,AJCP00-0110,2,1.48,,
13,AJCP00-0160,2,J,0,,2,2.77,,
14,AJWB00-0180,2,J,0,AJWB00-0190,2,0.91,,
15,AJWB00-0190,2,J,0,,2,1.25,,
16,AEQJ00-0080,2,E,4,,2,52.11,,
17,AGQJ00-0010,2,G,0,,2,2.58,,
18,FJQJ00-0370,2,J,0,,2,1.19,,
19,ABHS00-2180,2,B,2,,2,1.87,,
20,A-2,1,,-1,A-1,0,0.0,,
21,AFQJ00-0100,2,F,4,,3,0.8,,
22,AFZG00-0110,2,F,4,,3,0.74,,
23,AFZG00-0130,2,F,4,,3,0.54,,
24,AFZG00-0140,2,F,4,,5,0.63,,
25,AFZG00-0150,2,F,4,,5,0.52,,
26,AFZG00-0160,2,F,4,,1,0.66,,
27,AFZG00-0170,2,F,4,,1,0.64,,
28,AKQS00-0020,2,K,4,,1,1.33,,6
29,AKZY00-0030,2,K,4,,1,1.23,,
30,AKCP00-0060,2,K,4,,1,1.77,,
31,AMYG00-0010,2,M,0,,1,0.65,,
32,AWWB00-0010,2,W,1,,2,0.81,,
33,AWWB00-0020,2,W,1,,1,0.95,,
34,AWWB00-0030,2,W,1,,1,1.02,,
35,AWWC00-0040,2,W,1,,1,0.83,,4
36,AWWB00-0050,2,W,1,,1,0.76,,
37,BWQS00-0090,2,W,1,,1,0.99,,6
38,AWWB00-1600,2,W,1,,1,0.32,,
39,FWQJ00-1960,2,W,1,,1,0.55,,
40,AYWB00-0040,2,Y,3,,1,3.72,,
41,AYWB00-0050,2,Y,3,,1,4.93,,
42,AYQQ00-0060,2,Y,3,,2,3.98,,2
43,AYHS00-0070,2,Y,3,,1,3.04,,
44,AYQQ00-0080,2,Y,3,,1,3.71,,2
45,AYZQ00-0090,2,Y,3,,1,4.33,,
46,AYWC00-1980,2,Y,3,,3,4.61,,4
47,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,4.74,,
48,ACZY00-0010,2,C,4,,1,0.91,,
49,ACCP00-0030,2,C,4,,1,0.62,,
50,ACCP00-0050,2,C,4,,1,0.52,,
51,ACCP00-0060,2,C,4,,1,0.45,,
52,ACCP00-0070,2,C,4,,1,0.47,,
53,ACZY00-0090,2,C,4,,1,0.94,,
54,AQHS00-0020,2,Q,2,,1,0.95,,
55,AQHS00-0030,2,Q,2,,1,1.24,,
56,AQHS00-0050,2,Q,2,,1,1.18,,
57,AQHS00-0070,2,Q,2,,1,1.79,,
58,AQHS00-0080,2,Q,2,,1,1.29,,
59,AQHS00-0110,2,Q,2,,1,1.55,,
60,AQHS00-0120,2,Q,2,,1,0.83,,
61,AQHS00-0130,2,Q,2,,2,1.44,,
62,RQND-N82154-22,2,Q,2,AQHS00-0120,2,1.6,,
63,AQHS00-0140,2,Q,2,RQND-N82154-22,2,0.88,,
64,RQND-N42600-21,2,Q,2,AQHS00-0130,1,1.44,,
65,AQHS00-0150,2,Q,2,RQND-N42600-21,1,0.83,,
66,AQQS00-0160,2,Q,2,,1,0.87,,6
67,AQHD00-0180,2,Q,2,,1,1.07,,
68,AQWC00-0190,2,Q,2,,1,0.99,,4
69,AJYY00-0230,2,J,0,,1,0.4,,
70,AJZY00-0240,2,J,0,,1,0.35,,
71,AJYY00-0270,2,J,0,,1,0.45,,
72,AJZY00-0280,2,J,0,,1,0.3,,
73,AJQX00-0290,2,J,0,,1,0.94,,4
74,AJWC00-0570,2,J,0,,1,1.76,,4
75,AJWC00-0580,2,J,0,,5,1.26,,4
76,AEQS00-0020,2,E,4,,1,1.83,,6
77,AEQS00-0030,2,E,4,,1,0.99,,6
78,AEHS00-0040,2,E,4,,1,5.05,,
79,AEQS00-0060,2,E,4,,1,0.62,,6
80,DXHS00-0010,2,X,2,,1,2.38,,
81,DXHS00-0020,2,X,2,,2,1.72,,
82,DXHS00-0030,2,X,2,,1,0.89,,
83,AGHXB4-0100,2,G,0,,1,1.58,,4
84,AGHXB5-0110,2,G,0,,1,1.3,,4
85,AGHS00-0120,2,G,0,,2,2.48,,
86,EGZY00-0140,2,G,0,,1,1.44,,
87,EGYY00-0150,2,G,0,,1,2.16,,
88,ENWCB1-0390,2,N,3,,2,1.98,,4
89,ENHSB1-0430,2,N,3,,1,2.55,,
90,ENHSB1-0310,2,N,3,,1,1.72,,
91,ENHSB1-0320,2,N,3,,1,1.79,,
92,ENHSB1-0340,2,N,3,,1,1.82,,
93,ENWCB1-0370,2,N,3,,1,2.36,,4
94,ENQSB1-0360,2,N,3,,1,2.03,,6
95,ENHDB1-0290,2,N,3,,1,1.27,,
96,ENHDB1-0260,2,N,3,,1,1.95,,
97,ENHDB1-0250,2,N,3,,1,2.18,,
98,ENWCB1-0350,2,N,3,,5,1.38,,4
99,ENHDB1-0210,2,N,3,,1,1.48,,
100,ENHDB1-0200,2,N,3,,1,2.17,,
101,ENHDB1-0190,2,N,3,,1,1.34,,
102,ENHDB1-0180,2,N,3,,1,1.52,,
103,ENHSB1-0440,2,N,3,,1,2.23,,
104,ENHSB1-0410,2,N,3,,1,2.21,,
105,ARWB00-0010,2,R,1,,2,1.98,,
106,ARWB00-0030,2,R,1,,2,2.48,,
107,ARWB00-0040,2,R,1,,2,2.39,,
108,ARWB00-0060,2,R,1,,2,2.34,,
109,ARWB00-0070,2,R,1,,2,2.43,,
110,ARWB00-0080,2,R,1,,2,2.11,,
111,ARWB00-0090,2,R,1,,2,1.03,,
112,ARWB00-0100,2,R,1,,2,1.48,,
113,ARWB00-0110,2,R,1,,2,1.4,,
114,ARWB00-0130,2,R,1,,2,1.13,,
115,ARWB00-0140,2,R,1,,2,1.68,,
116,A-3,1,,-1,A-2,0,0.0,,
117,AJYYA2-0320,2,J,0,,2,0.86,,
118,RJND-N75666-2,2,J,0,AJYYA2-0320,2,1.06,,
