序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.86,1,6
4,FAQJ00-3450,2,A,0,,2,1.75,1,
5,FDQJ00-2000,2,D,1,,2,2.61,1,
6,ABQJ00-0010,2,B,2,,2,3.1,1,
7,AJYY00-0010,2,J,0,,2,0.88,,
8,AJYY00-0030,2,J,0,AJYY00-0010,2,1.8,,
9,AJZY00-0020,2,J,0,,2,1.05,,
10,RJND-N93225-18,2,J,0,AJZY00-0020,2,1.24,,
11,AJZY00-0040,2,J,0,RJND-N93225-18,2,0.94,,
12,AJYY00-0050,2,J,0,,2,1.5,,
13,AJYY00-0070,2,J,0,AJYY00-0050,2,1.21,,
14,AJZY00-0060,2,J,0,,2,1.55,,
15,RJND-N79447-27,2,J,0,AJZY00-0060,2,0.68,,
16,AJZY00-0080,2,J,0,RJND-N79447-27,2,0.82,,
17,AJCP00-0090,2,J,0,,2,2.35,,
18,AJCP00-0100,2,J,0,,2,0.71,,
19,RJND-N25226-4,2,J,0,AJCP00-0100,2,0.51,,
20,AJCP00-0130,2,J,0,RJND-N25226-4,2,1.31,,
21,AJCP00-0110,2,J,0,,2,1.74,,
22,AJCP00-0120,2,J,0,,2,0.51,,
23,RJND-N70466-25,2,J,0,AJCP00-0120,1,0.74,,
24,AJCP00-0140,2,J,0,"AJCP00-0110,RJND-N70466-25",2,1.69,,
25,AJCP00-0150,2,J,0,,2,0.87,,
26,AJCP00-0170,2,J,0,AJCP00-0150,2,0.57,,
27,RJND-N15331-8,2,J,0,AJWB00-0190,3,1.12,,
28,AJWB00-0180,2,J,0,RJND-N15331-8,2,0.68,,
29,AJWB00-0190,2,J,0,,2,1.59,,
30,AJQJ00-0200,2,J,0,,2,1.27,,
31,AEQJ00-0010,2,E,4,,2,8.77,,
32,AEQJ00-0080,2,E,4,,2,44.53,,
33,AGQJ00-0010,2,G,0,,2,3.51,,
34,FJQJ00-0370,2,J,0,,2,1.19,,
35,ABHS00-2180,2,B,2,,2,1.16,,
36,A-2,1,,-1,A-1,0,0.0,,
37,AFQJ00-0100,2,F,4,,3,0.56,,
38,AFZG00-0110,2,F,4,,3,1.11,,
39,AFZG00-0120,2,F,4,,3,0.5,,
40,AFZG00-0130,2,F,4,,3,0.65,,
41,AFZG00-0150,2,F,4,,5,0.59,,
42,AFZG00-0160,2,F,4,,1,0.57,,
43,AFZG00-0170,2,F,4,,1,0.67,,
44,AKQS00-0020,2,K,4,,1,0.96,,6
45,AKZY00-0030,2,K,4,,1,1.35,,
46,AKCP00-0040,2,K,4,,1,1.58,,
47,AKCP00-0070,2,K,4,,1,1.24,,
48,AMYG00-0010,2,M,0,,1,0.72,,
49,AWWB00-0010,2,W,1,,2,0.67,,
50,AWWB00-0020,2,W,1,,1,0.71,,
51,AWWB00-0030,2,W,1,,1,1.01,,
52,AWWC00-0040,2,W,1,,1,0.9,,4
53,AWWB00-0050,2,W,1,,1,0.78,,
54,BWQS00-0090,2,W,1,,1,0.89,,6
55,FWQJ00-1960,2,W,1,,1,0.64,,
56,AYWB00-0040,2,Y,3,,1,5.22,,
57,AYWB00-0050,2,Y,3,,1,4.36,,
58,AYHS00-0070,2,Y,3,,1,5.23,,
59,AYZQ00-0090,2,Y,3,,1,5.91,,
60,AYWC00-1980,2,Y,3,,3,5.97,,4
61,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,2.99,,
62,ACZY00-0010,2,C,4,,1,0.8,,
63,ACYY00-0020,2,C,4,,1,1.27,,
64,ACCP00-0030,2,C,4,,1,0.46,,
65,ACCP00-0040,2,C,4,,1,0.72,,
66,ACCP00-0050,2,C,4,,1,0.38,,
67,ACCP00-0060,2,C,4,,1,0.46,,
68,ACCP00-0080,2,C,4,,1,0.46,,
69,ACZY00-0090,2,C,4,,1,0.97,,
70,AQHS00-0020,2,Q,2,,1,1.09,,
71,AQHS00-0040,2,Q,2,,1,1.2,,
72,AQHS00-0050,2,Q,2,,1,0.96,,
73,AQHS00-0060,2,Q,2,,1,1.41,,
74,AQHS00-0070,2,Q,2,,1,1.54,,
75,AQHS00-0080,2,Q,2,,1,1.67,,
76,AQHS00-0090,2,Q,2,,1,2.0,,
77,AQHS00-0100,2,Q,2,,1,1.59,,
78,AQHS00-0120,2,Q,2,,1,1.49,,
79,AQHS00-0130,2,Q,2,,2,1.85,,
80,AQHS00-0140,2,Q,2,AQHS00-0120,2,0.76,,
81,AQQS00-0160,2,Q,2,,1,1.01,,6
82,RQND-N23477-13,2,Q,2,AQHS00-0130,1,1.11,,
83,AQQJ00-0170,2,Q,2,RQND-N23477-13,2,2.32,,2
84,AQWC00-0190,2,Q,2,,1,0.99,,4
85,AJZY00-0220,2,J,0,,1,3.07,,
86,AJZY00-0240,2,J,0,,1,0.26,,
87,AJYY00-0250,2,J,0,,1,2.92,,
88,AJZY00-0260,2,J,0,,1,3.34,,
89,AJYY00-0270,2,J,0,,1,0.37,,
90,AJZY00-0280,2,J,0,,1,0.36,,
91,AJQX00-0290,2,J,0,,1,1.25,,4
92,AJWC00-0560,2,J,0,,1,0.48,,4
93,AJWC00-0580,2,J,0,,5,1.2,,4
94,AEQS00-0030,2,E,4,,1,0.74,,6
95,AEQX00-0050,2,E,4,,1,0.98,,4
96,AEQS00-0060,2,E,4,,1,0.61,,6
97,AEQS00-0070,2,E,4,,1,0.63,,6
98,AEZY00-0430,2,E,4,,1,1.45,,
99,DXHS00-0010,2,X,2,,1,2.62,,
100,DXHS00-0020,2,X,2,,2,1.67,,
101,DXHS00-0030,2,X,2,,1,0.67,,
102,AGHXB1-0070,2,G,0,,1,2.2,,4
103,AGHXB2-0080,2,G,0,,1,2.09,,4
104,AGHXB3-0090,2,G,0,,1,2.42,,4
105,AGHXB4-0100,2,G,0,,1,2.17,,4
106,AGHXB5-0110,2,G,0,,1,2.2,,4
107,AGHS00-0120,2,G,0,,2,2.07,,
108,AGWC00-0130,2,G,0,,1,2.3,,4
109,EGZY00-0140,2,G,0,,1,1.89,,
110,EGYY00-0150,2,G,0,,1,2.21,,
111,ENWCB1-0390,2,N,3,,2,1.93,,4
112,ENHSB1-0380,2,N,3,,1,3.24,,
113,ENHSB1-0310,2,N,3,,1,2.23,,
114,ENHSB1-0320,2,N,3,,1,2.29,,
115,ENHSB1-0330,2,N,3,,1,1.65,,
