序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
4,FAQJ00-3450,2,,2,2.9,1,
6,ABQJ00-0010,2,,2,3.8,1,
7,AJYY00-0010,2,,2,1.09,,
21,AJCP00-0150,2,,2,1.04,,
22,AJCP00-0160,2,AJCP00-0150,2,2.52,,
24,AJWB00-0180,2,,2,1.04,,
28,AEQJ00-0080,2,,2,50.1,,
29,AGQJ00-0010,2,,2,3.8,,
30,FJQJ00-0370,2,,2,1.03,,
31,ABHS00-2180,2,,2,1.8,,
32,A-2,1,A-1,0,0.0,,
35,AFZG00-0120,2,,3,0.5,,
47,AMYG00-0010,2,,1,0.7,,
48,AWWB00-0010,2,,2,0.8,,
49,AWWB00-0020,2,,1,0.8,,
50,AWWB00-0030,2,,1,0.8,,
55,FWQJ00-1960,2,,1,0.8,,
59,AYHS00-0070,2,,1,5.2,,
63,FYQJ00-1130,2,,2,6.3,,
69,ACCP00-0060,2,,1,0.5,,
70,ACCP00-0070,2,,1,0.5,,
74,AQHS00-0030,2,,1,1.15,,
77,AQHS00-0060,2,,1,1.5,,
78,AQHS00-0070,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
84,AQHS00-0130,2,,2,1.6,,
87,AQQS00-0160,2,,1,0.86,,6
91,AJZY00-0220,2,,1,2.36,,
92,AJYY00-0230,2,,1,0.41,,
99,AJHS00-0300,2,,1,0.53,,
100,AJYYA1-0310,2,,2,1.28,,
104,AEQS00-0020,2,,1,1.6,,6
108,AEQS00-0060,2,,1,0.6,,6
111,DXHS00-0010,2,,1,2.3,,
115,AGHXB2-0080,2,,1,2.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
120,AGWC00-0130,2,,1,2.0,,4
121,EGZY00-0140,2,,1,1.8,,
127,ENHSB1-0320,2,,1,1.8,,
131,ENQSB1-0360,2,,1,2.2,,6
137,ENHDB1-0250,2,,1,1.8,,
138,ENHDB1-0240,2,,1,1.8,,
140,ENHDB1-0220,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
144,ENHDB1-0190,2,,1,1.8,,
149,ENHSB1-0410,2,,1,2.2,,
150,ENHSB1-0400,2,,1,2.2,,
151,ARWB00-0010,2,,2,2.4,,
156,ARWB00-0060,2,,2,2.4,,
158,ARWB00-0080,2,,2,2.4,,
162,ARWB00-0120,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
171,AJYY00-0380,2,,2,0.99,,
173,AJYYB1-0400,2,,2,1.05,,
177,AJYY00-0440,2,,2,0.85,,
179,AJCP00-0460,2,,2,1.19,,
183,AJYYC2-0500,2,,2,0.96,,
184,AJZYC3-0510,2,,2,0.96,,
,RAND-N12027-2,2,AJCP00-0460,2,1.0,,
186,AJCPD2-0530,2,RAND-N12027-2,2,3.12,,
187,AJCPD3-0540,2,,2,3.12,,
193,A-4,1,A-2,0,0.0,,
195,DFQJB1-0350,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
204,DFZY00-0440,2,,2,1.3,,
205,DFYY00-0450,2,,2,1.3,,
206,DFYY00-0460,2,,2,1.3,,
215,BMZY00-0300,2,,2,1.0,,
217,DFYY00-3120,2,,2,0.6,,
218,BMYY00-0311,2,DFYY00-3120,2,1.0,,
220,BMZY00-0410,2,,2,2.4,,
225,FMQJ00-2540,2,,2,2.9,,
,RAND-N51210-9,2,A-4,2,1.0,,
228,A-5,1,"A-3,RAND-N51210-9",0,0.0,,
229,DFQJA3-0850,2,,2,0.9,,
231,DFQJA3-0870,2,,2,0.9,,
232,DFQJA3-0880,2,,2,0.9,,
236,DFYYA4-1240,2,DFQJA3-0880,2,4.1,,
241,A-6,1,"A-3,A-4",0,0.0,,
242,AAQX00-0120,2,,1,1.7,,4
243,AAQS00-0130,2,,1,9.5,,6
244,AAQX00-0140,2,,2,8.7,,4
248,AKHD00-0080,2,,1,7.2,,
