序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.7,1,6
6,ABQJ00-0010,2,,2,3.8,1,
7,AJYY00-0010,2,,2,1.09,,
8,AJYY00-0030,2,AJYY00-0010,2,1.35,,
12,AJYY00-0070,2,,2,1.35,,
14,AJZY00-0080,2,,2,1.35,,
17,AJCP00-0130,2,,2,1.35,,
21,AJCP00-0150,2,,2,1.04,,
22,AJCP00-0160,2,AJCP00-0150,2,2.52,,
23,AJCP00-0170,2,AJCP00-0160,2,0.63,,
24,AJWB00-0180,2,AJWB00-0190,2,1.04,,
25,AJWB00-0190,2,,2,1.06,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
36,AFZG00-0130,2,,3,0.5,,
37,AFZG00-0140,2,,5,0.5,,
38,AFZG00-0150,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
43,AKCP00-0040,2,,1,1.4,,
47,AMYG00-0010,2,,1,0.7,,
48,AWWB00-0010,2,,2,0.8,,
49,AWWB00-0020,2,,1,0.8,,
50,AWWB00-0030,2,,1,0.8,,
51,AWWC00-0040,2,,1,0.8,,4
54,AWWB00-1600,2,,1,0.5,,
55,FWQJ00-1960,2,,1,0.8,,
56,AYWB00-0040,2,,1,4.2,,
57,AYWB00-0050,2,,1,4.2,,
59,AYHS00-0070,2,,1,5.2,,
60,AYQQ00-0080,2,,1,5.7,,2
61,AYZQ00-0090,2,,1,5.7,,
67,ACCP00-0040,2,,1,0.6,,
74,AQHS00-0030,2,,1,1.15,,
76,AQHS00-0050,2,,1,1.15,,
78,AQHS00-0070,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
82,AQHS00-0110,2,,1,1.6,,
84,AQHS00-0130,2,,2,1.6,,
85,AQHS00-0140,2,,2,0.95,,
86,AQHS00-0150,2,AQHS00-0130,1,0.95,,
91,AJZY00-0220,2,,1,2.36,,
92,AJYY00-0230,2,,1,0.41,,
94,AJYY00-0250,2,,1,2.36,,
96,AJYY00-0270,2,,1,0.41,,
97,AJZY00-0280,2,,1,0.41,,
101,AJWC00-0560,2,,1,0.51,,4
103,AJWC00-0580,2,,5,1.53,,4
111,DXHS00-0010,2,,1,2.3,,
113,DXHS00-0030,2,,1,1.0,,
116,AGHXB3-0090,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
120,AGWC00-0130,2,,1,2.0,,4
123,ENWCB1-0390,2,,2,2.2,,4
127,ENHSB1-0320,2,,1,1.8,,
128,ENHSB1-0330,2,,1,1.8,,
129,ENHSB1-0340,2,,1,1.8,,
130,ENWCB1-0370,2,,1,2.2,,4
132,ENHDB1-0300,2,,1,1.8,,
135,ENHDB1-0270,2,,1,1.8,,
139,ENHDB1-0230,2,,1,1.8,,
143,ENHDB1-0200,2,,1,1.8,,
151,ARWB00-0010,2,,2,2.4,,
152,ARWB00-0020,2,,2,2.4,,
153,ARWB00-0030,2,,2,2.4,,
158,ARWB00-0080,2,,2,2.4,,
162,ARWB00-0120,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
167,AJYYA3-0330,2,,2,4.36,,
170,AJZYA6-0360,2,,2,4.36,,
171,AJYY00-0380,2,,2,0.99,,
172,AJZY00-0390,2,,2,0.99,,
174,AJYYB2-0410,2,,2,1.75,,
177,AJYY00-0440,2,AJYYB2-0410,2,0.85,,
178,AJZY00-0450,2,AJZYA6-0360,2,0.85,,
180,AJCP00-0470,2,,2,1.19,,
183,AJYYC2-0500,2,,2,0.96,,
187,AJCPD3-0540,2,,2,3.12,,
188,AJCPD4-0550,2,,2,8.34,,
193,A-4,1,A-2,0,0.0,,
194,DFQJB1-0340,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
200,DFQJB2-0400,2,,2,0.7,,
204,DFZY00-0440,2,,2,1.3,,
207,DFZG00-0470,2,,2,1.6,,
209,BMZG00-0020,2,,2,0.7,,
