序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.7,1,6
4,FAQJ00-3450,2,,2,2.9,1,
5,FDQJ00-2000,2,,2,2.1,1,
6,ABQJ00-0010,2,,2,3.8,1,
8,AJYY00-0030,2,,2,1.35,,
10,AJZY00-0040,2,,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
,RAND-N68382-10,2,AJYY00-0050,2,1.0,,
12,AJYY00-0070,2,RAND-N68382-10,2,1.35,,
15,AJCP00-0090,2,,2,2.06,,
19,AJCP00-0120,2,,2,0.57,,
21,AJCP00-0150,2,,2,1.04,,
,RAND-N13670-11,2,AJCP00-0150,2,1.0,,
23,AJCP00-0170,2,RAND-N13670-11,2,0.63,,
28,AEQJ00-0080,2,,2,50.1,,
30,FJQJ00-0370,2,,2,1.03,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
34,AFZG00-0110,2,,3,0.9,,
36,AFZG00-0130,2,,3,0.5,,
37,AFZG00-0140,2,,5,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
43,AKCP00-0040,2,,1,1.4,,
45,AKCP00-0060,2,,1,1.4,,
48,AWWB00-0010,2,,2,0.8,,
49,AWWB00-0020,2,,1,0.8,,
52,AWWB00-0050,2,,1,0.8,,
54,AWWB00-1600,2,,1,0.5,,
56,AYWB00-0040,2,,1,4.2,,
57,AYWB00-0050,2,,1,4.2,,
59,AYHS00-0070,2,,1,5.2,,
61,AYZQ00-0090,2,,1,5.7,,
62,AYWC00-1980,2,,3,4.6,,4
,RAND-N98961-4,2,AYZQ00-0090,2,1.0,,
63,FYQJ00-1130,2,RAND-N98961-4,2,6.3,,
64,ACZY00-0010,2,,1,0.85,,
69,ACCP00-0060,2,,1,0.5,,
72,ACZY00-0090,2,,1,0.85,,
77,AQHS00-0060,2,,1,1.5,,
80,AQHS00-0090,2,,1,1.6,,
82,AQHS00-0110,2,,1,1.6,,
83,AQHS00-0120,2,,1,1.6,,
,RAND-N45686-13,2,AQHS00-0120,2,1.0,,
85,AQHS00-0140,2,RAND-N45686-13,2,0.95,,
87,AQQS00-0160,2,,1,0.86,,6
89,AQHD00-0180,2,,1,1.0,,
92,AJYY00-0230,2,,1,0.41,,
93,AJZY00-0240,2,,1,0.41,,
94,AJYY00-0250,2,,1,2.36,,
95,AJZY00-0260,2,,1,2.36,,
97,AJZY00-0280,2,,1,0.41,,
98,AJQX00-0290,2,,1,1.18,,4
99,AJHS00-0300,2,,1,0.53,,
103,AJWC00-0580,2,,5,1.53,,4
106,AEHS00-0040,2,,1,6.1,,
108,AEQS00-0060,2,,1,0.6,,6
112,DXHS00-0020,2,,2,1.8,,
113,DXHS00-0030,2,,1,1.0,,
115,AGHXB2-0080,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
126,ENHSB1-0310,2,,1,1.8,,
129,ENHSB1-0340,2,,1,1.8,,
130,ENWCB1-0370,2,,1,2.2,,4
131,ENQSB1-0360,2,,1,2.2,,6
135,ENHDB1-0270,2,,1,1.8,,
136,ENHDB1-0260,2,,1,1.8,,
139,ENHDB1-0230,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
142,ENHDB1-0210,2,,1,1.8,,
144,ENHDB1-0190,2,,1,1.8,,
145,ENHDB1-0180,2,,1,1.8,,
148,ENHSB1-0420,2,,1,2.2,,
151,ARWB00-0010,2,,2,2.4,,
152,ARWB00-0020,2,,2,2.4,,
153,ARWB00-0030,2,,2,2.4,,
154,ARWB00-0040,2,,2,2.4,,
155,ARWB00-0050,2,,2,2.4,,
160,ARWB00-0100,2,,2,1.2,,
164,ARWB00-0140,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
171,AJYY00-0380,2,,2,0.99,,
172,AJZY00-0390,2,,2,0.99,,
173,AJYYB1-0400,2,,2,1.05,,
175,AJZYB3-0420,2,,2,1.05,,
176,AJZYB4-0430,2,,2,1.75,,
177,AJYY00-0440,2,,2,0.85,,
