序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
4,FAQJ00-3450,2,,2,2.9,1,
5,FDQJ00-2000,2,,2,2.1,1,
7,AJYY00-0010,2,,2,1.09,,
11,AJYY00-0050,2,,2,1.28,,
13,AJZY00-0060,2,,2,1.28,,
,RAND-N58852-6,2,AJZY00-0060,2,1.0,,
14,AJZY00-0080,2,RAND-N58852-6,2,1.35,,
21,AJCP00-0150,2,,2,1.04,,
24,AJWB00-0180,2,,2,1.04,,
27,AEQJ00-0010,2,,2,8.3,,
32,A-2,1,A-1,0,0.0,,
38,AFZG00-0150,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
40,AFZG00-0170,2,,1,0.5,,
42,AKZY00-0030,2,,1,1.5,,
43,AKCP00-0040,2,,1,1.4,,
45,AKCP00-0060,2,,1,1.4,,
47,AMYG00-0010,2,,1,0.7,,
54,AWWB00-1600,2,,1,0.5,,
57,AYWB00-0050,2,,1,4.2,,
59,AYHS00-0070,2,,1,5.2,,
60,AYQQ00-0080,2,,1,5.7,,2
62,AYWC00-1980,2,,3,4.6,,4
64,ACZY00-0010,2,,1,0.85,,
66,ACCP00-0030,2,,1,0.6,,
70,ACCP00-0070,2,,1,0.5,,
71,ACCP00-0080,2,,1,0.5,,
73,AQHS00-0020,2,,1,1.15,,
77,AQHS00-0060,2,,1,1.5,,
79,AQHS00-0080,2,,1,1.6,,
87,AQQS00-0160,2,,1,0.86,,6
89,AQHD00-0180,2,,1,1.0,,
91,AJZY00-0220,2,,1,2.36,,
100,AJYYA1-0310,2,,2,1.28,,
103,AJWC00-0580,2,,5,1.53,,4
105,AEQS00-0030,2,,1,1.0,,6
110,AEZY00-0430,2,,1,1.5,,
111,DXHS00-0010,2,,1,2.3,,
114,AGHXB1-0070,2,,1,2.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
124,ENHSB1-0380,2,,1,2.2,,
126,ENHSB1-0310,2,,1,1.8,,
127,ENHSB1-0320,2,,1,1.8,,
133,ENHDB1-0290,2,,1,1.8,,
137,ENHDB1-0250,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
144,ENHDB1-0190,2,,1,1.8,,
148,ENHSB1-0420,2,,1,2.2,,
149,ENHSB1-0410,2,,1,2.2,,
155,ARWB00-0050,2,,2,2.4,,
164,ARWB00-0140,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
173,AJYYB1-0400,2,,2,1.05,,
175,AJZYB3-0420,2,,2,1.05,,
176,AJZYB4-0430,2,,2,1.75,,
,RAND-N91076-12,2,AJZYB3-0420,2,1.0,,
178,AJZY00-0450,2,RAND-N91076-12,2,0.85,,
180,AJCP00-0470,2,,2,1.19,,
183,AJYYC2-0500,2,,2,0.96,,
185,AJCPD1-0520,2,,2,2.41,,
187,AJCPD3-0540,2,AJCPD1-0520,2,3.12,,
,RAND-N93521-3,2,A-2,2,1.0,,
193,A-4,1,RAND-N93521-3,0,0.0,,
196,DFQJB1-0360,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
198,DFQJB2-0380,2,,2,0.7,,
200,DFQJB2-0400,2,,2,0.7,,
201,DFQJC1-0410,2,,2,1.8,,
204,DFZY00-0440,2,,2,1.3,,
205,DFYY00-0450,2,,2,1.3,,
210,BMYY00-0030,2,,2,2.7,,
213,DFZY00-3090,2,,2,0.7,,
214,DFZY00-3100,2,,2,0.7,,
215,BMZY00-0300,2,"DFZY00-3090,DFZY00-3100",2,1.0,,
223,DMZY00-0760,2,,2,1.4,,
227,AYQJ00-0140,2,,2,18.1,,
,RAND-N4692-8,2,A-4,2,1.0,,
,RAND-N90286-15,2,A-3,2,1.0,,
228,A-5,1,"RAND-N4692-8,RAND-N90286-15",0,0.0,,
231,DFQJA3-0870,2,,2,0.9,,
232,DFQJA3-0880,2,,2,0.9,,
,RAND-N93610-4,2,DFQJA3-0980,2,1.0,,
234,DFZYA4-1220,2,RAND-N93610-4,2,4.1,,
235,DFYYA4-1230,2,DFQJA3-0870,2,4.1,,
