序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.7,1,6
4,FAQJ00-3450,2,,2,2.9,1,
14,AJZY00-0080,2,,2,1.35,,
19,AJCP00-0120,2,,2,0.57,,
21,AJCP00-0150,2,,2,1.04,,
24,AJWB00-0180,2,,2,1.04,,
27,AEQJ00-0010,2,,2,8.3,,
28,AEQJ00-0080,2,,2,50.1,,
,RAND-N66866-2,2,A-1,2,1.0,,
32,A-2,1,RAND-N66866-2,0,0.0,,
40,AFZG00-0170,2,,1,0.5,,
42,AKZY00-0030,2,,1,1.5,,
44,AKYY00-0050,2,,1,1.5,,
45,AKCP00-0060,2,,1,1.4,,
47,AMYG00-0010,2,,1,0.7,,
49,AWWB00-0020,2,,1,0.8,,
51,AWWC00-0040,2,,1,0.8,,4
62,AYWC00-1980,2,,3,4.6,,4
63,FYQJ00-1130,2,,2,6.3,,
68,ACCP00-0050,2,,1,0.5,,
74,AQHS00-0030,2,,1,1.15,,
79,AQHS00-0080,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
83,AQHS00-0120,2,,1,1.6,,
87,AQQS00-0160,2,,1,0.86,,6
88,AQQJ00-0170,2,,2,3.2,,2
95,AJZY00-0260,2,,1,2.36,,
97,AJZY00-0280,2,,1,0.41,,
98,AJQX00-0290,2,,1,1.18,,4
101,AJWC00-0560,2,,1,0.51,,4
107,AEQX00-0050,2,,1,1.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
117,AGHXB4-0100,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
122,EGYY00-0150,2,,1,1.8,,
123,ENWCB1-0390,2,,2,2.2,,4
128,ENHSB1-0330,2,,1,1.8,,
131,ENQSB1-0360,2,,1,2.2,,6
133,ENHDB1-0290,2,,1,1.8,,
135,ENHDB1-0270,2,,1,1.8,,
140,ENHDB1-0220,2,,1,1.8,,
151,ARWB00-0010,2,,2,2.4,,
152,ARWB00-0020,2,,2,2.4,,
155,ARWB00-0050,2,,2,2.4,,
162,ARWB00-0120,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
178,AJZY00-0450,2,,2,0.85,,
182,AJYYC1-0490,2,,2,0.64,,
191,AJWC00-0670,2,,2,0.43,,4
193,A-4,1,A-2,0,0.0,,
196,DFQJB1-0360,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
198,DFQJB2-0380,2,,2,0.7,,
202,DFQJC2-0420,2,,2,1.3,,
204,DFZY00-0440,2,,2,1.3,,
206,DFYY00-0460,2,,2,1.3,,
208,DFQS00-0480,2,,2,1.0,,6
211,BMYY00-0121,2,,2,14.8,,
219,BMZY00-0400,2,,2,2.4,,
227,AYQJ00-0140,2,,2,18.1,,
,RAND-N3732-0,2,A-3,2,1.0,,
228,A-5,1,"A-4,RAND-N3732-0",0,0.0,,
230,DFQJA3-0860,2,,2,0.9,,
231,DFQJA3-0870,2,,2,0.9,,
238,DFQJA3-0980,2,,2,0.9,,
239,DFQJA3-0990,2,,2,0.9,,
241,A-6,1,"A-3,A-4",0,0.0,,
245,AFHS00-0010,2,,1,2.3,,
251,AKHS00-0110,2,,2,2.4,,
253,AWHS00-0060,2,,1,2.3,,
254,ADHD00-0060,2,,1,3.7,,
257,AYQQ00-0100,2,,1,6.6,,2
258,AYZQ00-0110,2,,1,6.6,,
261,ACWB00-0175,2,,1,0.75,,
265,ABWC00-0120,2,,1,3.9,,4
275,ABWCB2-0200,2,,2,3.8,,4
,RAND-N17181-13,2,ABWCB2-0200,2,1.0,,
277,ABWCB3-0220,2,RAND-N17181-13,2,0.9,,4
281,DXHS00-0060,2,,2,1.2,,
282,ENQSA2-0150,2,,2,1.8,,6
285,ENQSA2-0120,2,,2,1.8,,6
288,ENHSA2-0160,2,,2,1.8,,
290,ARHS00-0160,2,,1,4.0,,
291,B,1,A,0,0.0,,
292,B-1,1,,0,0.0,,
296,DMYG00-1760,2,,2,1.0,,
