序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,-1,,0,0.0,,
2,A-1,1,,-1,,0,0.0,,
3,AAQS00-0010,2,A,0,,2,1.7,1,6
4,AJYY00-0030,2,J,0,,2,1.35,,
5,AJZY00-0020,2,J,0,,2,1.09,,
6,RJND-N91284-6,2,J,0,AJZY00-0020,2,7.34,,
7,AJZY00-0040,2,J,0,RJND-N91284-6,2,1.35,,
8,AJYY00-0050,2,J,0,,2,1.28,,
9,AJZY00-0060,2,J,0,,2,1.28,,
10,AJCP00-0120,2,J,0,,2,0.57,,
11,AJCP00-0150,2,J,0,,2,1.04,,
12,RJND-N24318-19,2,J,0,AJCP00-0150,1,2.39,,
13,AJCP00-0160,2,J,0,RJND-N24318-19,2,2.52,,
14,AJCP00-0170,2,J,0,AJCP00-0160,2,0.63,,
15,AJWB00-0190,2,J,0,,2,1.06,,
16,AJQJ00-0200,2,J,0,,2,1.18,,
17,AEQJ00-0010,2,E,4,,2,8.3,,
18,AEQJ00-0080,2,E,4,,2,50.1,,
19,AGQJ00-0010,2,G,0,,2,3.8,,
20,ABHS00-2180,2,B,2,,2,1.8,,
21,A-2,1,,-1,A-1,0,0.0,,
22,AFZG00-0110,2,F,4,,3,0.9,,
23,AFZG00-0130,2,F,4,,3,0.5,,
24,AFZG00-0150,2,F,4,,5,0.5,,
25,AFZG00-0160,2,F,4,,1,0.5,,
26,AFZG00-0170,2,F,4,,1,0.5,,
27,AKQS00-0020,2,K,4,,1,1.1,,6
28,AKZY00-0030,2,K,4,,1,1.5,,
29,AKCP00-0040,2,K,4,,1,1.4,,
30,AKYY00-0050,2,K,4,,1,1.5,,
31,AKCP00-0070,2,K,4,,1,1.6,,
32,AMYG00-0010,2,M,0,,1,0.7,,
33,AWWB00-0020,2,W,1,,1,0.8,,
34,AWWB00-0030,2,W,1,,1,0.8,,
35,AWWC00-0040,2,W,1,,1,0.8,,4
36,AWWB00-0050,2,W,1,,1,0.8,,
37,FWQJ00-1960,2,W,1,,1,0.8,,
38,AYWB00-0040,2,Y,3,,1,4.2,,
39,AYHS00-0070,2,Y,3,,1,5.2,,
40,AYQQ00-0080,2,Y,3,,1,5.7,,2
41,AYZQ00-0090,2,Y,3,,1,5.7,,
42,AYWC00-1980,2,Y,3,,3,4.6,,4
43,FYQJ00-1130,2,Y,3,AYZQ00-0090,2,6.3,,
44,ACYY00-0020,2,C,4,,1,0.85,,
45,ACCP00-0030,2,C,4,,1,0.6,,
46,ACCP00-0040,2,C,4,,1,0.6,,
47,ACCP00-0050,2,C,4,,1,0.5,,
48,AQHS00-0020,2,Q,2,,1,1.15,,
49,AQHS00-0030,2,Q,2,,1,1.15,,
50,AQHS00-0050,2,Q,2,,1,1.15,,
51,AQHS00-0060,2,Q,2,,1,1.5,,
52,AQHS00-0070,2,Q,2,,1,1.6,,
53,AQHS00-0080,2,Q,2,,1,1.6,,
54,AQHS00-0090,2,Q,2,,1,1.6,,
55,AQHS00-0100,2,Q,2,,1,1.6,,
56,AQHS00-0110,2,Q,2,,1,1.6,,
57,AQHS00-0140,2,Q,2,,2,0.95,,
58,AQHS00-0150,2,Q,2,,1,0.95,,
59,AQQS00-0160,2,Q,2,,1,0.86,,6
60,AQQJ00-0170,2,Q,2,,2,3.2,,2
61,AQHD00-0180,2,Q,2,,1,1.0,,
62,AQWC00-0190,2,Q,2,,1,1.0,,4
63,AJZY00-0220,2,J,0,,1,2.36,,
64,AJYY00-0230,2,J,0,,1,0.41,,
65,AJYY00-0250,2,J,0,,1,2.36,,
66,AJZY00-0260,2,J,0,,1,2.36,,
67,AJYY00-0270,2,J,0,,1,0.41,,
68,AJQX00-0290,2,J,0,,1,1.18,,4
69,AJHS00-0300,2,J,0,,1,0.53,,
70,AJWC00-0570,2,J,0,,1,1.66,,4
71,AEQS00-0020,2,E,4,,1,1.6,,6
72,AEQS00-0030,2,E,4,,1,1.0,,6
73,AEQS00-0060,2,E,4,,1,0.6,,6
74,AEQS00-0070,2,E,4,,1,0.6,,6
75,DXHS00-0010,2,X,2,,1,2.3,,
76,DXHS00-0020,2,X,2,,2,1.8,,
77,AGHXB1-0070,2,G,0,,1,2.0,,4
78,AGHXB2-0080,2,G,0,,1,2.0,,4
79,AGHXB3-0090,2,G,0,,1,2.0,,4
80,AGHXB4-0100,2,G,0,,1,2.0,,4
81,AGWC00-0130,2,G,0,,1,2.0,,4
82,EGZY00-0140,2,G,0,,1,1.8,,
83,EGYY00-0150,2,G,0,,1,1.8,,
84,ENWCB1-0390,2,N,3,,2,2.2,,4
85,ENHSB1-0380,2,N,3,,1,2.2,,
86,ENHSB1-0430,2,N,3,,1,2.2,,
87,ENHSB1-0320,2,N,3,,1,1.8,,
88,ENHSB1-0330,2,N,3,,1,1.8,,
89,ENHSB1-0340,2,N,3,,1,1.8,,
90,ENHDB1-0290,2,N,3,,1,1.8,,
91,ENHDB1-0280,2,N,3,,1,1.8,,
92,ENHDB1-0270,2,N,3,,1,1.8,,
93,ENHDB1-0260,2,N,3,,1,1.8,,
94,ENWCB1-0350,2,N,3,,5,1.8,,4
95,ENHDB1-0200,2,N,3,,1,1.8,,
96,ENHDB1-0190,2,N,3,,1,1.8,,
97,ENHDB1-0180,2,N,3,,1,1.8,,
98,ENHSB1-0170,2,N,3,,1,1.8,,
99,ENHSB1-0440,2,N,3,,1,2.2,,
100,ENHSB1-0420,2,N,3,,1,2.2,,
101,ENHSB1-0400,2,N,3,,1,2.2,,
102,ARWB00-0010,2,R,1,,2,2.4,,
103,ARWB00-0040,2,R,1,,2,2.4,,
104,ARWB00-0050,2,R,1,,2,2.4,,
105,ARWB00-0060,2,R,1,,2,2.4,,
106,ARWB00-0070,2,R,1,,2,2.4,,
107,ARWB00-0090,2,R,1,,2,1.2,,
108,ARWB00-0100,2,R,1,,2,1.2,,
109,ARWB00-0110,2,R,1,,2,1.2,,
110,ARWB00-0130,2,R,1,,2,1.2,,
111,A-3,1,,-1,A-2,0,0.0,,
112,AJYYA3-0330,2,J,0,,2,4.36,,
113,AJZYA4-0340,2,J,0,,2,1.28,,
114,RJND-N49177-16,2,J,0,AJZYA4-0340,2,5.82,,
115,AJZYA5-0350,2,J,0,RJND-N49177-16,2,0.9,,
116,AJYYB2-0410,2,J,0,AJZYA4-0340,2,1.75,,
117,RJND-N23843-7,2,J,0,AJZYA5-0350,2,0.81,,
