序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
5,FDQJ00-2000,2,,2,2.1,1,
10,AJZY00-0040,2,,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
15,AJCP00-0090,2,,2,2.06,,
18,AJCP00-0110,2,,2,2.06,,
20,AJCP00-0140,2,AJCP00-0110,2,1.35,,
21,AJCP00-0150,2,,2,1.04,,
22,AJCP00-0160,2,AJCP00-0150,2,2.52,,
25,AJWB00-0190,2,,2,1.06,,
27,AEQJ00-0010,2,,2,8.3,,
28,AEQJ00-0080,2,,2,50.1,,
29,AGQJ00-0010,2,,2,3.8,,
30,FJQJ00-0370,2,,2,1.03,,
31,ABHS00-2180,2,,2,1.8,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
34,AFZG00-0110,2,,3,0.9,,
40,AFZG00-0170,2,,1,0.5,,
45,AKCP00-0060,2,,1,1.4,,
47,AMYG00-0010,2,,1,0.7,,
49,AWWB00-0020,2,,1,0.8,,
52,AWWB00-0050,2,,1,0.8,,
57,AYWB00-0050,2,,1,4.2,,
60,AYQQ00-0080,2,,1,5.7,,2
61,AYZQ00-0090,2,,1,5.7,,
63,FYQJ00-1130,2,AYZQ00-0090,2,6.3,,
65,ACYY00-0020,2,,1,0.85,,
68,ACCP00-0050,2,,1,0.5,,
77,AQHS00-0060,2,,1,1.5,,
78,AQHS00-0070,2,,1,1.6,,
79,AQHS00-0080,2,,1,1.6,,
80,AQHS00-0090,2,,1,1.6,,
82,AQHS00-0110,2,,1,1.6,,
88,AQQJ00-0170,2,,2,3.2,,2
90,AQWC00-0190,2,,1,1.0,,4
91,AJZY00-0220,2,,1,2.36,,
93,AJZY00-0240,2,,1,0.41,,
95,AJZY00-0260,2,,1,2.36,,
97,AJZY00-0280,2,,1,0.41,,
100,AJYYA1-0310,2,,2,1.28,,
105,AEQS00-0030,2,,1,1.0,,6
108,AEQS00-0060,2,,1,0.6,,6
109,AEQS00-0070,2,,1,0.6,,6
113,DXHS00-0030,2,,1,1.0,,
114,AGHXB1-0070,2,,1,2.0,,4
123,ENWCB1-0390,2,,2,2.2,,4
124,ENHSB1-0380,2,,1,2.2,,
127,ENHSB1-0320,2,,1,1.8,,
128,ENHSB1-0330,2,,1,1.8,,
130,ENWCB1-0370,2,,1,2.2,,4
132,ENHDB1-0300,2,,1,1.8,,
137,ENHDB1-0250,2,,1,1.8,,
138,ENHDB1-0240,2,,1,1.8,,
142,ENHDB1-0210,2,,1,1.8,,
143,ENHDB1-0200,2,,1,1.8,,
148,ENHSB1-0420,2,,1,2.2,,
149,ENHSB1-0410,2,,1,2.2,,
151,ARWB00-0010,2,,2,2.4,,
153,ARWB00-0030,2,,2,2.4,,
156,ARWB00-0060,2,,2,2.4,,
158,ARWB00-0080,2,,2,2.4,,
159,ARWB00-0090,2,,2,1.2,,
161,ARWB00-0110,2,,2,1.2,,
162,ARWB00-0120,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
,RAND-N87304-5,2,A-2,2,1.0,,
165,A-3,1,RAND-N87304-5,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
167,AJYYA3-0330,2,AJYYA2-0320,2,4.36,,
169,AJZYA5-0350,2,,2,0.9,,
172,AJZY00-0390,2,,2,0.99,,
173,AJYYB1-0400,2,AJYYA3-0330,2,1.05,,
174,AJYYB2-0410,2,,2,1.75,,
176,AJZYB4-0430,2,,2,1.75,,
178,AJZY00-0450,2,AJZYA5-0350,2,0.85,,
179,AJCP00-0460,2,,2,1.19,,
180,AJCP00-0470,2,,2,1.19,,
182,AJYYC1-0490,2,,2,0.64,,
183,AJYYC2-0500,2,AJYYC1-0490,2,0.96,,
187,AJCPD3-0540,2,,2,3.12,,
189,AJWC00-0650,2,,2,1.83,,4
191,AJWC00-0670,2,,2,0.43,,4
192,AJCP00-0770,2,,2,1.02,,
193,A-4,1,A-2,0,0.0,,
196,DFQJB1-0360,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
