序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
4,FAQJ00-3450,2,,2,2.9,1,
7,AJYY00-0010,2,,2,1.09,,
11,AJYY00-0050,2,,2,1.28,,
16,AJCP00-0100,2,,2,0.57,,
17,AJCP00-0130,2,AJCP00-0100,2,1.35,,
23,AJCP00-0170,2,,2,0.63,,
24,AJWB00-0180,2,,2,1.04,,
30,FJQJ00-0370,2,,2,1.03,,
,RAND-N98196-0,2,A-1,2,1.0,,
32,A-2,1,RAND-N98196-0,0,0.0,,
36,AFZG00-0130,2,,3,0.5,,
38,AFZG00-0150,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
40,AFZG00-0170,2,,1,0.5,,
42,AKZY00-0030,2,,1,1.5,,
44,AKYY00-0050,2,,1,1.5,,
51,AWWC00-0040,2,,1,0.8,,4
56,AYWB00-0040,2,,1,4.2,,
57,AYWB00-0050,2,,1,4.2,,
62,AYWC00-1980,2,,3,4.6,,4
63,FYQJ00-1130,2,,2,6.3,,
66,ACCP00-0030,2,,1,0.6,,
68,ACCP00-0050,2,,1,0.5,,
75,AQHS00-0040,2,,1,1.15,,
84,AQHS00-0130,2,,2,1.6,,
89,AQHD00-0180,2,,1,1.0,,
91,AJZY00-0220,2,,1,2.36,,
95,AJZY00-0260,2,,1,2.36,,
99,AJHS00-0300,2,,1,0.53,,
100,AJYYA1-0310,2,,2,1.28,,
101,AJWC00-0560,2,,1,0.51,,4
102,AJWC00-0570,2,,1,1.66,,4
103,AJWC00-0580,2,,5,1.53,,4
106,AEHS00-0040,2,,1,6.1,,
109,AEQS00-0070,2,,1,0.6,,6
110,AEZY00-0430,2,,1,1.5,,
115,AGHXB2-0080,2,,1,2.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
123,ENWCB1-0390,2,,2,2.2,,4
125,ENHSB1-0430,2,,1,2.2,,
126,ENHSB1-0310,2,,1,1.8,,
127,ENHSB1-0320,2,,1,1.8,,
129,ENHSB1-0340,2,,1,1.8,,
131,ENQSB1-0360,2,,1,2.2,,6
132,ENHDB1-0300,2,,1,1.8,,
133,ENHDB1-0290,2,,1,1.8,,
134,ENHDB1-0280,2,,1,1.8,,
138,ENHDB1-0240,2,,1,1.8,,
142,ENHDB1-0210,2,,1,1.8,,
143,ENHDB1-0200,2,,1,1.8,,
147,ENHSB1-0440,2,,1,2.2,,
150,ENHSB1-0400,2,,1,2.2,,
151,ARWB00-0010,2,,2,2.4,,
154,ARWB00-0040,2,,2,2.4,,
155,ARWB00-0050,2,,2,2.4,,
160,ARWB00-0100,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
164,ARWB00-0140,2,,2,1.2,,
,RAND-N13280-6,2,A-2,2,1.0,,
165,A-3,1,RAND-N13280-6,0,0.0,,
166,AJYYA2-0320,2,,2,0.9,,
171,AJYY00-0380,2,,2,0.99,,
175,AJZYB3-0420,2,,2,1.05,,
176,AJZYB4-0430,2,,2,1.75,,
188,AJCPD4-0550,2,,2,8.34,,
191,AJWC00-0670,2,,2,0.43,,4
192,AJCP00-0770,2,,2,1.02,,
193,A-4,1,A-2,0,0.0,,
195,DFQJB1-0350,2,,2,1.1,,
197,DFQJB2-0370,2,,2,0.7,,
203,DFZY00-0430,2,,2,1.3,,
204,DFZY00-0440,2,,2,1.3,,
206,DFYY00-0460,2,,2,1.3,,
207,DFZG00-0470,2,,2,1.6,,
208,DFQS00-0480,2,,2,1.0,,6
211,BMYY00-0121,2,,2,14.8,,
212,BMZY00-0130,2,,2,14.8,,
213,DFZY00-3090,2,,2,0.7,,
220,BMZY00-0410,2,,2,2.4,,
222,BMYY00-0430,2,,2,2.4,,
223,DMZY00-0760,2,,2,1.4,,
225,FMQJ00-2540,2,,2,2.9,,
228,A-5,1,"A-3,A-4",0,0.0,,
231,DFQJA3-0870,2,,2,0.9,,
237,DFQJA3-0970,2,,2,0.9,,
239,DFQJA3-0990,2,,2,0.9,,
240,DFQJA3-1000,2,,2,0.9,,
