序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
4,FAQJ00-3450,2,,2,2.9,1,
5,FDQJ00-2000,2,,2,2.1,1,
7,AJYY00-0010,2,,2,1.09,,
,RAND-N96837-12,2,AJYY00-0010,2,1.0,,
8,AJYY00-0030,2,RAND-N96837-12,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
13,AJZY00-0060,2,,2,1.28,,
,RAND-N62030-4,2,AJZY00-0060,2,1.0,,
14,AJZY00-0080,2,RAND-N62030-4,2,1.35,,
16,AJCP00-0100,2,,2,0.57,,
17,AJCP00-0130,2,AJCP00-0100,2,1.35,,
18,AJCP00-0110,2,,2,2.06,,
20,AJCP00-0140,2,AJCP00-0110,2,1.35,,
22,AJCP00-0160,2,,2,2.52,,
23,AJCP00-0170,2,AJCP00-0160,2,0.63,,
25,AJWB00-0190,2,,2,1.06,,
26,AJQJ00-0200,2,,2,1.18,,
27,AEQJ00-0010,2,,2,8.3,,
28,AEQJ00-0080,2,,2,50.1,,
29,AGQJ00-0010,2,,2,3.8,,
30,FJQJ00-0370,2,,2,1.03,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
34,AFZG00-0110,2,,3,0.9,,
35,AFZG00-0120,2,,3,0.5,,
36,AFZG00-0130,2,,3,0.5,,
39,AFZG00-0160,2,,1,0.5,,
40,AFZG00-0170,2,,1,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
42,AKZY00-0030,2,,1,1.5,,
43,AKCP00-0040,2,,1,1.4,,
45,AKCP00-0060,2,,1,1.4,,
48,AWWB00-0010,2,,2,0.8,,
50,AWWB00-0030,2,,1,0.8,,
58,AYQQ00-0060,2,,2,6.2,,2
59,AYHS00-0070,2,,1,5.2,,
62,AYWC00-1980,2,,3,4.6,,4
65,ACYY00-0020,2,,1,0.85,,
67,ACCP00-0040,2,,1,0.6,,
68,ACCP00-0050,2,,1,0.5,,
69,ACCP00-0060,2,,1,0.5,,
71,ACCP00-0080,2,,1,0.5,,
73,AQHS00-0020,2,,1,1.15,,
74,AQHS00-0030,2,,1,1.15,,
77,AQHS00-0060,2,,1,1.5,,
78,AQHS00-0070,2,,1,1.6,,
81,AQHS00-0100,2,,1,1.6,,
82,AQHS00-0110,2,,1,1.6,,
83,AQHS00-0120,2,,1,1.6,,
84,AQHS00-0130,2,,2,1.6,,
85,AQHS00-0140,2,AQHS00-0120,2,0.95,,
86,AQHS00-0150,2,AQHS00-0130,1,0.95,,
87,AQQS00-0160,2,,1,0.86,,6
90,AQWC00-0190,2,,1,1.0,,4
91,AJZY00-0220,2,,1,2.36,,
92,AJYY00-0230,2,,1,0.41,,
95,AJZY00-0260,2,,1,2.36,,
96,AJYY00-0270,2,,1,0.41,,
97,AJZY00-0280,2,,1,0.41,,
98,AJQX00-0290,2,,1,1.18,,4
99,AJHS00-0300,2,,1,0.53,,
100,AJYYA1-0310,2,,2,1.28,,
104,AEQS00-0020,2,,1,1.6,,6
106,AEHS00-0040,2,,1,6.1,,
107,AEQX00-0050,2,,1,1.0,,4
109,AEQS00-0070,2,,1,0.6,,6
110,AEZY00-0430,2,,1,1.5,,
114,AGHXB1-0070,2,,1,2.0,,4
116,AGHXB3-0090,2,,1,2.0,,4
117,AGHXB4-0100,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
122,EGYY00-0150,2,,1,1.8,,
123,ENWCB1-0390,2,,2,2.2,,4
134,ENHDB1-0280,2,,1,1.8,,
139,ENHDB1-0230,2,,1,1.8,,
140,ENHDB1-0220,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
146,ENHSB1-0170,2,,1,1.8,,
148,ENHSB1-0420,2,,1,2.2,,
150,ENHSB1-0400,2,,1,2.2,,
151,ARWB00-0010,2,,2,2.4,,
156,ARWB00-0060,2,,2,2.4,,
158,ARWB00-0080,2,,2,2.4,,
162,ARWB00-0120,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
164,ARWB00-0140,2,,2,1.2,,
