序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
8,AJYY00-0030,2,,2,1.35,,
10,AJZY00-0040,2,,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
12,AJYY00-0070,2,AJYY00-0050,2,1.35,,
15,AJCP00-0090,2,,2,2.06,,
16,AJCP00-0100,2,,2,0.57,,
18,AJCP00-0110,2,,2,2.06,,
20,AJCP00-0140,2,AJCP00-0110,2,1.35,,
22,AJCP00-0160,2,,2,2.52,,
23,AJCP00-0170,2,AJCP00-0160,2,0.63,,
25,AJWB00-0190,2,,2,1.06,,
26,AJQJ00-0200,2,,2,1.18,,
32,A-2,1,A-1,0,0.0,,
33,AFQJ00-0100,2,,3,0.7,,
35,AFZG00-0120,2,,3,0.5,,
37,AFZG00-0140,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
42,AKZY00-0030,2,,1,1.5,,
45,AKCP00-0060,2,,1,1.4,,
48,AWWB00-0010,2,,2,0.8,,
49,AWWB00-0020,2,,1,0.8,,
50,AWWB00-0030,2,,1,0.8,,
51,AWWC00-0040,2,,1,0.8,,4
55,FWQJ00-1960,2,,1,0.8,,
59,AYHS00-0070,2,,1,5.2,,
61,AYZQ00-0090,2,,1,5.7,,
62,AYWC00-1980,2,,3,4.6,,4
66,ACCP00-0030,2,,1,0.6,,
68,ACCP00-0050,2,,1,0.5,,
72,ACZY00-0090,2,,1,0.85,,
73,AQHS00-0020,2,,1,1.15,,
77,AQHS00-0060,2,,1,1.5,,
83,AQHS00-0120,2,,1,1.6,,
84,AQHS00-0130,2,,2,1.6,,
85,AQHS00-0140,2,AQHS00-0120,2,0.95,,
87,AQQS00-0160,2,,1,0.86,,6
89,AQHD00-0180,2,,1,1.0,,
90,AQWC00-0190,2,,1,1.0,,4
91,AJZY00-0220,2,,1,2.36,,
92,AJYY00-0230,2,,1,0.41,,
94,AJYY00-0250,2,,1,2.36,,
97,AJZY00-0280,2,,1,0.41,,
99,AJHS00-0300,2,,1,0.53,,
103,AJWC00-0580,2,,5,1.53,,4
108,AEQS00-0060,2,,1,0.6,,6
110,AEZY00-0430,2,,1,1.5,,
112,DXHS00-0020,2,,2,1.8,,
114,AGHXB1-0070,2,,1,2.0,,4
115,AGHXB2-0080,2,,1,2.0,,4
118,AGHXB5-0110,2,,1,2.0,,4
119,AGHS00-0120,2,,2,2.3,,
120,AGWC00-0130,2,,1,2.0,,4
123,ENWCB1-0390,2,,2,2.2,,4
124,ENHSB1-0380,2,,1,2.2,,
128,ENHSB1-0330,2,,1,1.8,,
131,ENQSB1-0360,2,,1,2.2,,6
132,ENHDB1-0300,2,,1,1.8,,
133,ENHDB1-0290,2,,1,1.8,,
138,ENHDB1-0240,2,,1,1.8,,
141,ENWCB1-0350,2,,5,1.8,,4
143,ENHDB1-0200,2,,1,1.8,,
146,ENHSB1-0170,2,,1,1.8,,
147,ENHSB1-0440,2,,1,2.2,,
148,ENHSB1-0420,2,,1,2.2,,
149,ENHSB1-0410,2,,1,2.2,,
153,ARWB00-0030,2,,2,2.4,,
160,ARWB00-0100,2,,2,1.2,,
163,ARWB00-0130,2,,2,1.2,,
165,A-3,1,A-2,0,0.0,,
168,AJZYA4-0340,2,,2,1.28,,
,RAND-N90515-5,2,AJZYA4-0340,2,1.0,,
169,AJZYA5-0350,2,RAND-N90515-5,2,0.9,,
170,AJZYA6-0360,2,AJZYA5-0350,2,4.36,,
172,AJZY00-0390,2,,2,0.99,,
175,AJZYB3-0420,2,AJZYA6-0360,2,1.05,,
176,AJZYB4-0430,2,,2,1.75,,
184,AJZYC3-0510,2,,2,0.96,,
187,AJCPD3-0540,2,,2,3.12,,
189,AJWC00-0650,2,,2,1.83,,4
193,A-4,1,A-2,0,0.0,,
195,DFQJB1-0350,2,,2,1.1,,
196,DFQJB1-0360,2,,2,1.1,,
198,DFQJB2-0380,2,,2,0.7,,
201,DFQJC1-0410,2,,2,1.8,,
205,DFYY00-0450,2,,2,1.3,,
208,DFQS00-0480,2,,2,1.0,,6
