序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.81,1,6
4,FDQJ00-2000,2,,2,1.99,1,
5,ABQJ00-0010,2,,2,4.76,1,
6,AJYY00-0030,2,,2,1.6,,
7,AJZY00-0020,2,,2,1.05,,
8,AJYY00-0050,2,,2,1.28,,
9,RAND-N36752-41,2,AJYY00-0050,1,1.51,,
10,AJYY00-0070,2,RAND-N36752-41,2,1.31,,
11,AJZY00-0060,2,,2,1.41,,
12,RAND-N29252-19,2,AJZY00-0060,2,1.31,,
13,AJZY00-0080,2,RAND-N29252-19,2,1.5,,
14,AJCP00-0090,2,,2,2.09,,
15,AJCP00-0100,2,,2,0.45,,
16,AJCP00-0130,2,AJCP00-0100,2,1.42,,
17,AJCP00-0140,2,,2,1.11,,
18,AJCP00-0150,2,,2,1.18,,
19,RAND-N46962-20,2,AJCP00-0150,2,1.01,,
20,AJCP00-0160,2,RAND-N46962-20,2,2.63,,
21,RAND-N37629-37,2,AJCP00-0160,2,2.77,,
22,AJCP00-0170,2,RAND-N37629-37,2,0.71,,
23,AJWB00-0190,2,,2,1.06,,
24,AJQJ00-0200,2,,2,0.95,,
25,AGQJ00-0010,2,,2,3.3,,
26,RAND-N59055-10,2,A-1,2,1.18,,
27,A-2,1,RAND-N59055-10,0,0.0,,
28,AFQJ00-0100,2,,3,0.66,,
29,AFZG00-0120,2,,3,0.37,,
30,AFZG00-0140,2,,5,0.41,,
31,AFZG00-0160,2,,1,0.33,,
32,AKQS00-0020,2,,1,1.09,,6
33,AKCP00-0060,2,,1,1.45,,
34,AWWB00-0020,2,,1,0.92,,
35,AWWB00-0030,2,,1,1.05,,
36,BWQS00-0090,2,,1,0.89,,6
37,AWWB00-1600,2,,1,0.44,,
38,FWQJ00-1960,2,,1,0.83,,
39,AYWB00-0040,2,,1,4.42,,
40,AYWB00-0050,2,,1,3.41,,
41,AYHS00-0070,2,,1,6.25,,
42,AYWC00-1980,2,,3,4.58,,4
43,FYQJ00-1130,2,,2,6.76,,
44,ACYY00-0020,2,,1,1.07,,
45,ACCP00-0030,2,,1,0.4,,
46,ACCP00-0040,2,,1,0.65,,
47,ACCP00-0060,2,,1,0.44,,
48,ACCP00-0070,2,,1,0.5,,
49,ACCP00-0080,2,,1,0.57,,
50,ACZY00-0090,2,,1,0.85,,
51,AQHS00-0020,2,,1,1.47,,
52,AQHS00-0030,2,,1,1.03,,
53,AQHS00-0040,2,,1,1.17,,
54,AQHS00-0050,2,,1,1.11,,
55,AQHS00-0060,2,,1,1.76,,
56,AQHS00-0130,2,,2,0.98,,
57,AQHS00-0150,2,AQHS00-0130,1,0.8,,
58,AQQS00-0160,2,,1,0.9,,6
59,AJZY00-0220,2,,1,2.51,,
60,AJYY00-0230,2,,1,0.44,,
61,AJZY00-0260,2,,1,2.22,,
62,AJYY00-0270,2,,1,0.42,,
63,AJQX00-0290,2,,1,0.88,,4
64,AJHS00-0300,2,,1,0.45,,
65,AJWC00-0580,2,,5,1.85,,4
66,AEQS00-0020,2,,1,1.68,,6
67,AEQS00-0030,2,,1,0.93,,6
68,AEQS00-0060,2,,1,0.76,,6
69,AEQS00-0070,2,,1,0.7,,6
70,AEZY00-0430,2,,1,1.71,,
71,DXHS00-0010,2,,1,2.39,,
72,DXHS00-0030,2,,1,0.82,,
73,AGHXB2-0080,2,,1,1.67,,4
74,AGHXB3-0090,2,,1,2.06,,4
75,AGHXB4-0100,2,,1,2.26,,4
76,AGHS00-0120,2,,2,2.35,,
77,AGWC00-0130,2,,1,2.44,,4
78,EGZY00-0140,2,,1,1.21,,
79,EGYY00-0150,2,,1,2.46,,
80,ENWCB1-0390,2,,2,2.55,,4
81,ENHSB1-0380,2,,1,1.77,,
82,ENHSB1-0430,2,,1,2.1,,
83,ENHSB1-0340,2,,1,1.27,,
84,ENWCB1-0370,2,,1,2.8,,4
85,ENQSB1-0360,2,,1,1.86,,6
86,ENHDB1-0290,2,,1,2.29,,
87,ENHDB1-0280,2,,1,1.57,,
