序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,FAQJ00-3450,2,,2,3.0,1,
4,FDQJ00-2000,2,,2,2.6,1,
5,AJYY00-0010,2,,2,1.1,,
6,AJYY00-0070,2,,2,1.06,,
7,AJZY00-0080,2,,2,1.61,,
8,AJCP00-0090,2,,2,2.0,,
9,AJCP00-0100,2,,2,0.38,,
10,RAND-N52224-2,2,AJCP00-0100,1,0.65,,
11,AJCP00-0130,2,RAND-N52224-2,2,1.4,,
12,AJCP00-0140,2,,2,1.41,,
13,AJCP00-0150,2,,2,0.8,,
14,AJCP00-0170,2,AJCP00-0150,2,0.75,,
15,AEQJ00-0010,2,,2,9.09,,
16,AGQJ00-0010,2,,2,3.52,,
17,RAND-N68009-9,2,A-1,2,0.87,,
18,A-2,1,RAND-N68009-9,0,0.0,,
19,AFZG00-0110,2,,3,0.65,,
20,AFZG00-0120,2,,3,0.51,,
21,AFZG00-0130,2,,3,0.49,,
22,AFZG00-0160,2,,1,0.61,,
23,AKCP00-0040,2,,1,1.13,,
24,AKYY00-0050,2,,1,1.89,,
25,AKCP00-0070,2,,1,1.48,,
26,AMYG00-0010,2,,1,0.93,,
27,AWWB00-0020,2,,1,0.95,,
28,AWWB00-0050,2,,1,0.87,,
29,BWQS00-0090,2,,1,1.32,,6
30,AWWB00-1600,2,,1,0.34,,
31,FWQJ00-1960,2,,1,0.86,,
32,AYWB00-0050,2,,1,4.62,,
33,AYZQ00-0090,2,,1,5.91,,
34,AYWC00-1980,2,,3,5.9,,4
35,FYQJ00-1130,2,AYZQ00-0090,2,6.63,,
36,ACZY00-0010,2,,1,1.35,,
37,ACCP00-0030,2,,1,0.48,,
38,ACCP00-0050,2,,1,0.39,,
39,ACCP00-0060,2,,1,0.5,,
40,ACCP00-0080,2,,1,0.55,,
41,ACZY00-0090,2,,1,0.76,,
42,AQHS00-0040,2,,1,1.12,,
43,AQHS00-0070,2,,1,1.39,,
44,AQHS00-0080,2,,1,1.26,,
45,AQHS00-0090,2,,1,2.36,,
46,AQHS00-0100,2,,1,1.42,,
47,AQHS00-0110,2,,1,2.13,,
48,AQHS00-0120,2,,1,1.66,,
49,AQHS00-0140,2,AQHS00-0120,2,1.13,,
50,AQQJ00-0170,2,,2,2.66,,2
51,AQWC00-0190,2,,1,0.87,,4
52,AJYY00-0230,2,,1,0.45,,
53,AJYY00-0250,2,,1,1.66,,
54,AJZY00-0260,2,,1,2.29,,
55,AJYY00-0270,2,,1,0.52,,
56,AJWC00-0560,2,,1,0.45,,4
57,AJWC00-0580,2,,5,2.01,,4
58,AEHS00-0040,2,,1,5.6,,
59,AEQS00-0060,2,,1,0.62,,6
60,AEQS00-0070,2,,1,0.61,,6
61,DXHS00-0010,2,,1,1.98,,
62,DXHS00-0030,2,,1,1.12,,
63,AGHXB1-0070,2,,1,2.02,,4
64,AGHXB2-0080,2,,1,2.18,,4
65,AGHXB5-0110,2,,1,2.49,,4
66,AGHS00-0120,2,,2,1.7,,
67,AGWC00-0130,2,,1,2.58,,4
68,EGZY00-0140,2,,1,2.42,,
69,EGYY00-0150,2,,1,1.36,,
70,ENWCB1-0390,2,,2,2.43,,4
71,ENHSB1-0310,2,,1,2.29,,
72,ENHSB1-0320,2,,1,1.75,,
73,ENHSB1-0340,2,,1,1.44,,
74,ENHDB1-0300,2,,1,1.66,,
75,ENHDB1-0260,2,,1,2.08,,
76,ENHDB1-0230,2,,1,1.94,,
77,ENHDB1-0220,2,,1,2.2,,
78,ENWCB1-0350,2,,5,1.46,,4
79,ENHDB1-0200,2,,1,2.34,,
80,ENHDB1-0190,2,,1,2.09,,
81,ENHSB1-0440,2,,1,2.38,,
82,ARWB00-0020,2,,2,3.12,,
83,ARWB00-0040,2,,2,1.8,,
84,ARWB00-0050,2,,2,1.8,,
85,ARWB00-0070,2,,2,2.5,,
86,ARWB00-0080,2,,2,2.58,,
87,ARWB00-0090,2,,2,1.41,,
88,ARWB00-0100,2,,2,1.33,,
89,ARWB00-0120,2,,2,1.29,,
