序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.62,1,6
4,FAQJ00-3450,2,,2,2.02,1,
5,ABQJ00-0010,2,,2,3.7,1,
6,AJYY00-0010,2,,2,1.3,,
7,AJYY00-0030,2,AJYY00-0010,2,1.35,,
8,AJZY00-0040,2,,2,1.61,,
9,AJYY00-0050,2,,2,1.16,,
10,AJYY00-0070,2,AJYY00-0050,2,1.42,,
11,AJZY00-0060,2,,2,1.46,,
12,AJZY00-0080,2,AJZY00-0060,2,1.22,,
13,AJCP00-0090,2,,2,2.91,,
14,AJCP00-0100,2,,2,0.4,,
15,AJCP00-0120,2,,2,0.52,,
16,AJCP00-0140,2,AJCP00-0120,2,1.54,,
17,AJCP00-0160,2,,2,2.24,,
18,AJCP00-0170,2,AJCP00-0160,2,0.72,,
19,AJWB00-0180,2,AJWB00-0190,2,1.08,,
20,AJWB00-0190,2,,2,1.02,,
21,AJQJ00-0200,2,,2,0.85,,
22,AEQJ00-0080,2,,2,44.44,,
23,AGQJ00-0010,2,,2,4.67,,
24,FJQJ00-0370,2,,2,0.82,,
25,ABHS00-2180,2,,2,1.65,,
26,RAND-N92428-1,2,A-1,1,1.34,,
27,A-2,1,RAND-N92428-1,0,0.0,,
28,AFQJ00-0100,2,,3,0.94,,
29,AFZG00-0130,2,,3,0.47,,
30,AFZG00-0140,2,,5,0.37,,
31,AFZG00-0150,2,,5,0.48,,
32,AFZG00-0160,2,,1,0.44,,
33,AFZG00-0170,2,,1,0.45,,
34,AKQS00-0020,2,,1,1.42,,6
35,AKZY00-0030,2,,1,1.24,,
36,AKCP00-0040,2,,1,1.52,,
37,AKYY00-0050,2,,1,1.69,,
38,AKCP00-0060,2,,1,1.61,,
39,AKCP00-0070,2,,1,1.11,,
40,AMYG00-0010,2,,1,0.85,,
41,AWWB00-0020,2,,1,0.66,,
42,AWWB00-0030,2,,1,0.83,,
43,AWWC00-0040,2,,1,0.72,,4
44,AWWB00-0050,2,,1,0.62,,
45,AWWB00-1600,2,,1,0.6,,
46,AYWB00-0040,2,,1,3.46,,
47,AYWB00-0050,2,,1,3.67,,
48,AYQQ00-0080,2,,1,4.16,,2
49,AYZQ00-0090,2,,1,6.09,,
50,AYWC00-1980,2,,3,4.88,,4
51,ACZY00-0010,2,,1,0.8,,
52,ACYY00-0020,2,,1,0.74,,
53,ACCP00-0030,2,,1,0.77,,
54,ACCP00-0040,2,,1,0.65,,
55,ACCP00-0050,2,,1,0.51,,
56,ACCP00-0060,2,,1,0.61,,
57,ACCP00-0070,2,,1,0.52,,
58,ACCP00-0080,2,,1,0.33,,
59,ACZY00-0090,2,,1,0.94,,
60,AQHS00-0020,2,,1,0.68,,
61,AQHS00-0040,2,,1,1.22,,
62,AQHS00-0050,2,,1,0.83,,
63,AQHS00-0060,2,,1,1.6,,
64,AQHS00-0070,2,,1,1.42,,
65,AQHS00-0080,2,,1,1.47,,
66,AQHS00-0090,2,,1,1.29,,
67,AQHS00-0100,2,,1,1.66,,
68,AQHS00-0120,2,,1,0.83,,
69,AQHS00-0130,2,,2,2.2,,
70,AQHS00-0140,2,AQHS00-0120,2,1.02,,
71,RAND-N27931-0,2,AQHS00-0130,1,2.01,,
72,AQHS00-0150,2,RAND-N27931-0,1,0.48,,
73,AQQS00-0160,2,,1,0.93,,6
74,AQQJ00-0170,2,AQHS00-0130,2,4.0,,2
75,AQHD00-0180,2,,1,0.52,,
76,AQWC00-0190,2,,1,1.09,,4
77,AJZY00-0220,2,,1,2.17,,
78,AJYY00-0230,2,,1,0.38,,
79,AJYY00-0250,2,,1,1.55,,
80,AJZY00-0260,2,,1,1.71,,
81,AJYY00-0270,2,,1,0.34,,
82,AJZY00-0280,2,,1,0.34,,
83,AJQX00-0290,2,,1,1.57,,4
84,AJHS00-0300,2,,1,0.44,,
85,AJYYA1-0310,2,,2,0.63,,
86,AJWC00-0560,2,,1,0.28,,4
87,AJWC00-0570,2,,1,1.4,,4
