序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.85,1,6
4,FAQJ00-3450,2,,2,2.7,1,
5,ABQJ00-0010,2,,2,3.59,1,
6,AJYY00-0010,2,,2,1.53,,
7,AJZY00-0020,2,,2,1.16,,
8,AJZY00-0040,2,AJZY00-0020,2,1.55,,
9,AJYY00-0050,2,,2,1.51,,
10,AJYY00-0070,2,AJYY00-0050,2,1.62,,
11,AJZY00-0080,2,,2,1.02,,
12,AJCP00-0130,2,,2,1.58,,
13,AJCP00-0110,2,,2,1.96,,
14,AJCP00-0120,2,,2,0.49,,
15,RAND-N16009-11,2,AJCP00-0120,2,0.41,,
16,AJCP00-0140,2,"AJCP00-0110,RAND-N16009-11",2,1.11,,
17,AJCP00-0150,2,,2,1.22,,
18,AJCP00-0170,2,AJCP00-0150,2,0.58,,
19,AJWB00-0180,2,AJWB00-0190,2,1.22,,
20,AJWB00-0190,2,,2,1.27,,
21,AEQJ00-0010,2,,2,6.52,,
22,AEQJ00-0080,2,,2,62.17,,
23,AGQJ00-0010,2,,2,4.09,,
24,FJQJ00-0370,2,,2,0.91,,
25,ABHS00-2180,2,,2,2.02,,
26,A-2,1,A-1,0,0.0,,
27,AFZG00-0110,2,,3,0.79,,
28,AFZG00-0120,2,,3,0.43,,
29,AFZG00-0130,2,,3,0.58,,
30,AFZG00-0140,2,,5,0.52,,
31,AFZG00-0170,2,,1,0.54,,
32,AKQS00-0020,2,,1,0.99,,6
33,AKZY00-0030,2,,1,1.56,,
34,AKCP00-0040,2,,1,1.38,,
35,AKCP00-0060,2,,1,1.73,,
36,AKCP00-0070,2,,1,1.35,,
37,AMYG00-0010,2,,1,0.81,,
38,AWWB00-0010,2,,2,1.26,,
39,AWWB00-0020,2,,1,1.04,,
40,AWWB00-0030,2,,1,0.74,,
41,AWWC00-0040,2,,1,0.94,,4
42,BWQS00-0090,2,,1,0.91,,6
43,AYWB00-0040,2,,1,3.85,,
44,AYQQ00-0060,2,,2,5.8,,2
45,AYHS00-0070,2,,1,5.91,,
46,AYQQ00-0080,2,,1,6.49,,2
47,AYZQ00-0090,2,,1,5.82,,
48,AYWC00-1980,2,,3,3.68,,4
49,FYQJ00-1130,2,AYZQ00-0090,2,5.2,,
50,ACZY00-0010,2,,1,0.61,,
51,ACYY00-0020,2,,1,0.75,,
52,ACCP00-0030,2,,1,0.61,,
53,ACCP00-0040,2,,1,0.72,,
54,ACCP00-0050,2,,1,0.58,,
55,ACCP00-0070,2,,1,0.58,,
56,ACCP00-0080,2,,1,0.51,,
57,AQHS00-0020,2,,1,1.21,,
58,AQHS00-0040,2,,1,1.0,,
59,AQHS00-0050,2,,1,1.57,,
60,AQHS00-0060,2,,1,1.48,,
61,AQHS00-0100,2,,1,1.54,,
62,AQHS00-0130,2,,2,2.0,,
63,AQHS00-0140,2,,2,0.94,,
64,AQWC00-0190,2,,1,1.09,,4
65,AJZY00-0220,2,,1,1.94,,
66,AJYY00-0230,2,,1,0.49,,
67,AJZY00-0240,2,,1,0.51,,
68,AJYY00-0250,2,,1,2.61,,
69,AJZY00-0260,2,,1,2.06,,
70,AJYY00-0270,2,,1,0.53,,
71,AJZY00-0280,2,,1,0.26,,
72,AJQX00-0290,2,,1,1.14,,4
73,AJWC00-0570,2,,1,1.52,,4
74,AEQS00-0020,2,,1,1.36,,6
75,AEHS00-0040,2,,1,7.15,,
76,AEQX00-0050,2,,1,1.09,,4
77,AEQS00-0070,2,,1,0.65,,6
78,AEZY00-0430,2,,1,1.15,,
79,DXHS00-0010,2,,1,2.3,,
80,DXHS00-0020,2,,2,2.53,,
81,DXHS00-0030,2,,1,0.71,,
82,AGHXB2-0080,2,,1,2.09,,4
83,AGHXB3-0090,2,,1,2.38,,4
84,AGHXB4-0100,2,,1,2.2,,4
85,AGHXB5-0110,2,,1,2.3,,4
86,AGHS00-0120,2,,2,1.47,,
87,EGZY00-0140,2,,1,1.95,,
88,ENWCB1-0390,2,,2,2.61,,4
