序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.23,1,6
4,FDQJ00-2000,2,,2,2.33,1,
5,ABQJ00-0010,2,,2,3.62,1,
6,AJZY00-0020,2,,2,0.81,,
7,AJZY00-0080,2,,2,1.55,,
8,AJCP00-0100,2,,2,0.5,,
9,AJCP00-0130,2,AJCP00-0100,2,1.47,,
10,AJCP00-0110,2,,2,1.83,,
11,AJCP00-0120,2,,2,0.6,,
12,AJCP00-0160,2,,2,2.06,,
13,AJWB00-0180,2,,2,1.18,,
14,AJQJ00-0200,2,,2,1.26,,
15,AEQJ00-0010,2,,2,7.59,,
16,AEQJ00-0080,2,,2,58.82,,
17,AGQJ00-0010,2,,2,4.39,,
18,FJQJ00-0370,2,,2,1.09,,
19,A-2,1,A-1,0,0.0,,
20,AFQJ00-0100,2,,3,1.06,,
21,AFZG00-0110,2,,3,0.88,,
22,AFZG00-0120,2,,3,0.37,,
23,AFZG00-0130,2,,3,0.49,,
24,AFZG00-0140,2,,5,0.66,,
25,AFZG00-0150,2,,5,0.39,,
26,AFZG00-0160,2,,1,0.56,,
27,AFZG00-0170,2,,1,0.79,,
28,AKZY00-0030,2,,1,1.38,,
29,AKCP00-0040,2,,1,1.66,,
30,AKYY00-0050,2,,1,1.27,,
31,AKCP00-0060,2,,1,1.15,,
32,AWWB00-0010,2,,2,0.62,,
33,AWWC00-0040,2,,1,0.76,,4
34,AWWB00-0050,2,,1,1.05,,
35,AWWB00-1600,2,,1,0.37,,
36,AYWB00-0050,2,,1,5.57,,
37,AYQQ00-0060,2,,2,6.53,,2
38,AYWC00-1980,2,,3,5.51,,4
39,FYQJ00-1130,2,,2,5.28,,
40,ACZY00-0010,2,,1,0.94,,
41,ACYY00-0020,2,,1,0.95,,
42,ACCP00-0030,2,,1,0.5,,
43,ACCP00-0050,2,,1,0.42,,
44,ACCP00-0070,2,,1,0.32,,
45,ACZY00-0090,2,,1,0.74,,
46,AQHS00-0030,2,,1,1.43,,
47,AQHS00-0040,2,,1,1.41,,
48,AQHS00-0090,2,,1,1.77,,
49,AQHS00-0110,2,,1,1.62,,
50,AQHS00-0120,2,,1,1.25,,
51,AQHS00-0150,2,,1,0.81,,
52,AQQJ00-0170,2,,2,3.33,,2
53,AQHD00-0180,2,,1,0.69,,
54,AJZY00-0220,2,,1,2.52,,
55,AJYY00-0270,2,,1,0.43,,
56,AJZY00-0280,2,,1,0.36,,
57,AJYYA1-0310,2,,2,1.26,,
58,AJWC00-0560,2,,1,0.49,,4
59,AJWC00-0570,2,,1,1.94,,4
60,AJWC00-0580,2,,5,1.47,,4
61,AEQS00-0020,2,,1,1.98,,6
62,AEHS00-0040,2,,1,5.09,,
63,AEQX00-0050,2,,1,1.16,,4
64,AEQS00-0060,2,,1,0.52,,6
65,AEQS00-0070,2,,1,0.66,,6
66,DXHS00-0010,2,,1,2.7,,
67,DXHS00-0020,2,,2,1.94,,
68,AGHXB2-0080,2,,1,1.55,,4
69,AGHXB4-0100,2,,1,1.28,,4
70,AGHS00-0120,2,,2,1.94,,
71,AGWC00-0130,2,,1,1.97,,4
72,EGZY00-0140,2,,1,1.94,,
73,EGYY00-0150,2,,1,1.41,,
74,ENWCB1-0390,2,,2,2.21,,4
75,ENHSB1-0380,2,,1,2.78,,
76,ENHSB1-0430,2,,1,2.64,,
77,ENHSB1-0310,2,,1,1.48,,
78,ENHSB1-0330,2,,1,1.39,,
79,ENHSB1-0340,2,,1,1.99,,
80,ENWCB1-0370,2,,1,1.88,,4
81,ENHDB1-0290,2,,1,1.77,,
82,ENHDB1-0280,2,,1,1.56,,
83,ENHDB1-0270,2,,1,2.07,,
84,ENHDB1-0260,2,,1,1.9,,
85,ENHDB1-0250,2,,1,1.68,,
86,ENHDB1-0240,2,,1,1.83,,
87,ENHDB1-0210,2,,1,2.25,,
88,ENHDB1-0200,2,,1,2.05,,
89,ENHDB1-0190,2,,1,1.27,,
90,ENHSB1-0170,2,,1,1.44,,
