序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,2.03,1,6
4,FAQJ00-3450,2,,2,2.32,1,
5,FDQJ00-2000,2,,2,2.11,1,
6,ABQJ00-0010,2,,2,4.15,1,
7,AJYY00-0010,2,,2,0.87,,
8,AJYY00-0030,2,AJYY00-0010,2,1.36,,
9,AJZY00-0020,2,,2,0.8,,
10,AJZY00-0040,2,AJZY00-0020,2,1.64,,
11,AJZY00-0060,2,,2,1.19,,
12,AJZY00-0080,2,AJZY00-0060,2,1.38,,
13,AJCP00-0130,2,,2,1.63,,
14,AJCP00-0110,2,,2,1.9,,
15,AJCP00-0140,2,AJCP00-0110,2,1.58,,
16,AJWB00-0180,2,,2,1.28,,
17,AJQJ00-0200,2,,2,1.01,,
18,AEQJ00-0010,2,,2,7.22,,
19,AEQJ00-0080,2,,2,47.7,,
20,AGQJ00-0010,2,,2,3.12,,
21,FJQJ00-0370,2,,2,1.27,,
22,ABHS00-2180,2,,2,2.19,,
23,A-2,1,A-1,0,0.0,,
24,AFQJ00-0100,2,,3,0.55,,
25,AFZG00-0110,2,,3,0.74,,
26,AFZG00-0120,2,,3,0.63,,
27,AFZG00-0140,2,,5,0.49,,
28,AFZG00-0160,2,,1,0.38,,
29,AFZG00-0170,2,,1,0.42,,
30,AKQS00-0020,2,,1,1.14,,6
31,AKYY00-0050,2,,1,1.33,,
32,AKCP00-0060,2,,1,1.85,,
33,AKCP00-0070,2,,1,0.73,,
34,AMYG00-0010,2,,1,0.9,,
35,AWWB00-0010,2,,2,0.69,,
36,AWWB00-0020,2,,1,0.41,,
37,AWWC00-0040,2,,1,1.1,,4
38,AWWB00-0050,2,,1,0.9,,
39,BWQS00-0090,2,,1,1.0,,6
40,AWWB00-1600,2,,1,0.55,,
41,AYWB00-0040,2,,1,3.64,,
42,AYWB00-0050,2,,1,4.32,,
43,AYQQ00-0060,2,,2,5.78,,2
44,AYHS00-0070,2,,1,4.78,,
45,AYQQ00-0080,2,,1,8.36,,2
46,AYWC00-1980,2,,3,5.16,,4
47,FYQJ00-1130,2,,2,6.66,,
48,ACZY00-0010,2,,1,0.76,,
49,ACCP00-0040,2,,1,0.62,,
50,ACCP00-0050,2,,1,0.58,,
51,ACCP00-0060,2,,1,0.38,,
52,ACCP00-0080,2,,1,0.4,,
53,ACZY00-0090,2,,1,0.75,,
54,AQHS00-0020,2,,1,1.12,,
55,AQHS00-0030,2,,1,0.76,,
56,AQHS00-0040,2,,1,1.42,,
57,AQHS00-0060,2,,1,1.16,,
58,AQHS00-0070,2,,1,1.6,,
59,AQHS00-0090,2,,1,1.39,,
60,AQHS00-0110,2,,1,1.71,,
61,AQHS00-0120,2,,1,1.78,,
62,AQHS00-0130,2,,2,0.96,,
63,AQHS00-0140,2,AQHS00-0120,2,1.1,,
64,AQQJ00-0170,2,AQHS00-0130,2,2.57,,2
65,AQHD00-0180,2,,1,1.26,,
66,AQWC00-0190,2,,1,1.14,,4
67,AJYY00-0230,2,,1,0.51,,
68,AJZY00-0240,2,,1,0.25,,
69,AJYY00-0250,2,,1,2.63,,
70,AJZY00-0260,2,,1,1.76,,
71,AJYY00-0270,2,,1,0.47,,
72,AJZY00-0280,2,,1,0.56,,
73,AJYYA1-0310,2,,2,1.09,,
74,AJWC00-0560,2,,1,0.35,,4
75,AJWC00-0570,2,,1,1.71,,4
76,AEQS00-0020,2,,1,1.16,,6
77,AEHS00-0040,2,,1,5.37,,
78,AEQX00-0050,2,,1,1.2,,4
79,AEQS00-0060,2,,1,0.59,,6
80,AEQS00-0070,2,,1,0.84,,6
81,AEZY00-0430,2,,1,0.72,,
82,DXHS00-0010,2,,1,2.41,,
83,DXHS00-0020,2,,2,1.31,,
84,DXHS00-0030,2,,1,1.25,,
85,AGHXB1-0070,2,,1,2.16,,4
86,AGHXB2-0080,2,,1,1.79,,4
87,AGHXB3-0090,2,,1,1.84,,4
88,AGHXB4-0100,2,,1,2.0,,4
89,AGHXB5-0110,2,,1,1.48,,4
