序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,FAQJ00-3450,2,,2,1.78,1,
4,ABQJ00-0010,2,,2,4.06,1,
5,AJYY00-0010,2,,2,1.18,,
6,AJYY00-0030,2,AJYY00-0010,2,1.78,,
7,AJZY00-0020,2,,2,0.77,,
8,AJYY00-0050,2,,2,0.89,,
9,AJYY00-0070,2,AJYY00-0050,2,1.12,,
10,AJZY00-0060,2,,2,1.09,,
11,AJCP00-0120,2,,2,0.51,,
12,AJCP00-0160,2,,2,3.88,,
13,RAND-N48401-2,2,AJCP00-0160,2,1.52,,
14,AJCP00-0170,2,RAND-N48401-2,2,0.65,,
15,AJWB00-0190,2,,2,1.0,,
16,AEQJ00-0080,2,,2,54.6,,
17,AGQJ00-0010,2,,2,5.03,,
18,ABHS00-2180,2,,2,1.0,,
19,A-2,1,A-1,0,0.0,,
20,AFQJ00-0100,2,,3,0.55,,
21,AFZG00-0120,2,,3,0.62,,
22,AFZG00-0130,2,,3,0.58,,
23,AFZG00-0140,2,,5,0.44,,
24,AFZG00-0160,2,,1,0.53,,
25,AKQS00-0020,2,,1,0.71,,6
26,AKCP00-0070,2,,1,1.54,,
27,AMYG00-0010,2,,1,0.5,,
28,AWWB00-0030,2,,1,0.72,,
29,AWWC00-0040,2,,1,1.13,,4
30,AWWB00-0050,2,,1,1.03,,
31,BWQS00-0090,2,,1,0.77,,6
32,AWWB00-1600,2,,1,0.7,,
33,FWQJ00-1960,2,,1,0.63,,
34,AYWB00-0050,2,,1,5.69,,
35,AYQQ00-0060,2,,2,4.57,,2
36,AYZQ00-0090,2,,1,3.66,,
37,AYWC00-1980,2,,3,4.77,,4
38,FYQJ00-1130,2,AYZQ00-0090,2,7.95,,
39,ACCP00-0030,2,,1,0.81,,
40,ACCP00-0040,2,,1,0.52,,
41,ACCP00-0050,2,,1,0.56,,
42,ACCP00-0060,2,,1,0.52,,
43,ACCP00-0070,2,,1,0.42,,
44,ACCP00-0080,2,,1,0.39,,
45,AQHS00-0030,2,,1,1.54,,
46,AQHS00-0050,2,,1,1.22,,
47,AQHS00-0090,2,,1,1.38,,
48,AQHS00-0100,2,,1,1.86,,
49,AQHS00-0120,2,,1,1.66,,
50,AQHS00-0130,2,,2,2.06,,
51,AQHS00-0140,2,AQHS00-0120,2,0.86,,
52,AQHS00-0150,2,AQHS00-0130,1,0.53,,
53,AQHD00-0180,2,,1,1.45,,
54,AQWC00-0190,2,,1,0.84,,4
55,AJZY00-0220,2,,1,2.34,,
56,AJYY00-0230,2,,1,0.39,,
57,AJZY00-0240,2,,1,0.3,,
58,AJZY00-0260,2,,1,2.5,,
59,AJYY00-0270,2,,1,0.37,,
60,AJQX00-0290,2,,1,1.16,,4
61,AJHS00-0300,2,,1,0.55,,
62,AJYYA1-0310,2,,2,1.18,,
63,AEQS00-0020,2,,1,2.14,,6
64,AEQS00-0030,2,,1,0.85,,6
65,AEHS00-0040,2,,1,5.7,,
66,AEQX00-0050,2,,1,1.0,,4
67,AEQS00-0060,2,,1,0.6,,6
68,AEQS00-0070,2,,1,0.69,,6
69,AEZY00-0430,2,,1,1.86,,
70,DXHS00-0010,2,,1,1.45,,
71,DXHS00-0020,2,,2,1.5,,
72,DXHS00-0030,2,,1,0.71,,
73,AGHXB1-0070,2,,1,2.03,,4
74,AGWC00-0130,2,,1,1.63,,4
75,EGZY00-0140,2,,1,2.17,,
76,EGYY00-0150,2,,1,1.72,,
77,ENHSB1-0430,2,,1,1.92,,
78,ENHSB1-0310,2,,1,2.28,,
79,ENHSB1-0330,2,,1,1.61,,
80,ENHSB1-0340,2,,1,1.33,,
81,ENQSB1-0360,2,,1,2.7,,6
82,ENHDB1-0300,2,,1,1.71,,
83,ENHDB1-0270,2,,1,1.93,,
84,ENHDB1-0260,2,,1,2.04,,
85,ENHDB1-0250,2,,1,1.53,,
86,ENHDB1-0240,2,,1,2.28,,
87,ENHDB1-0230,2,,1,1.64,,
88,ENHDB1-0220,2,,1,1.1,,
